2026-03-03 20:22:28,764 | INFO     | ibapi.client | SENDING reqHistoricalData b'\x00\x00\x00A20\x003007\x000\x00AMD\x00STK\x00\x000.0\x00\x00\x00SMART\x00\x00USD\x00\x00\x000\x00\x001 day\x002 Y\x001\x00TRADES\x001\x000\x00\x00'
2026-03-03 20:22:29,952 | INFO     | Screener.Pipeline |   [8/500] AES
2026-03-03 20:22:29,953 | INFO     | ibapi.utils | REQUEST reqHistoricalData {'reqId': 3008, 'contract': 4388444000: 0,AES,STK,,,0,,,SMART,,USD,,,False,,,,combo:, 'endDateTime': '', 'durationStr': '2 Y', 'barSizeSetting': '1 day', 'whatToShow': 'TRADES', 'useRTH': 1, 'formatDate': 1, 'keepUpToDate': False, 'chartOptions': []}
2026-03-03 20:22:29,953 | INFO     | ibapi.client | SENDING reqHistoricalData b'\x00\x00\x00A20\x003008\x000\x00AES\x00STK\x00\x000.0\x00\x00\x00SMART\x00\x00USD\x00\x00\x000\x00\x001 day\x002 Y\x001\x00TRADES\x001\x000\x00\x00'
2026-03-03 20:22:31,116 | INFO     | Screener.Pipeline |   [9/500] AFL
2026-03-03 20:22:31,117 | INFO     | ibapi.utils | REQUEST reqHistoricalData {'reqId': 3009, 'contract': 4408463184: 0,AFL,STK,,,0,,,SMART,,USD,,,False,,,,combo:, 'endDateTime': '', 'durationStr': '2 Y', 'barSizeSetting': '1 day', 'whatToShow': 'TRADES', 'useRTH': 1, 'formatDate': 1, 'keepUpToDate': False, 'chartOptions': []}
2026-03-03 20:22:31,117 | INFO     | ibapi.client | SENDING reqHistoricalData b'\x00\x00\x00A20\x003009\x000\x00AFL\x00STK\x00\x000.0\x00\x00\x00SMART\x00\x00USD\x00\x00\x000\x00\x001 day\x002 Y\x001\x00TRADES\x001\x000\x00\x00'
2026-03-03 20:22:32,399 | INFO     | Screener.Pipeline |   [10/500] A
2026-03-03 20:22:32,399 | INFO     | ibapi.utils | REQUEST reqHistoricalData {'reqId': 3010, 'contract': 4408563264: 0,A,STK,,,0,,,SMART,,USD,,,False,,,,combo:, 'endDateTime': '', 'durationStr': '2 Y', 'barSizeSetting': '1 day', 'whatToShow': 'TRADES', 'useRTH': 1, 'formatDate': 1, 'keepUpToDate': False, 'chartOptions': []}
2026-03-03 20:22:32,399 | INFO     | ibapi.client | SENDING reqHistoricalData b'\x00\x00\x00?20\x003010\x000\x00A\x00STK\x00\x000.0\x00\x00\x00SMART\x00\x00USD\x00\x00\x000\x00\x001 day\x002 Y\x001\x00TRADES\x001\x000\x00\x00'
2026-03-03 20:22:33,589 | INFO     | Screener.Pipeline |   [11/500] APD
2026-03-03 20:22:33,590 | INFO     | ibapi.utils | REQUEST reqHistoricalData {'reqId': 3011, 'contract': 4408463328: 0,APD,STK,,,0,,,SMART,,USD,,,False,,,,combo:, 'endDateTime': '', 'durationStr': '2 Y', 'barSizeSetting': '1 day', 'whatToShow': 'TRADES', 'useRTH': 1, 'formatDate': 1, 'keepUpToDate': False, 'chartOptions': []}
2026-03-03 20:22:33,591 | INFO     | ibapi.client | SENDING reqHistoricalData b'\x00\x00\x00A20\x003011\x000\x00APD\x00STK\x00\x000.0\x00\x00\x00SMART\x00\x00USD\x00\x00\x000\x00\x001 day\x002 Y\x001\x00TRADES\x001\x000\x00\x00'
2026-03-03 20:22:34,847 | INFO     | Screener.Pipeline |   [12/500] ABNB
