,conId,symbol,secType,expiration,strike,right,exchange,currency,tradingClass,openPrice,closePrice,lowPrice,highPrice,lastPrice,tradingVolume
45,757533005,ES,FOP,20250214,6090.0,P,CME,USD,EW2,6131.75,3.95,3.3,3.95,3.9,-1.0
46,757533005,ES,FOP,20250214,6090.0,P,CME,USD,EW2,6131.75,3.95,3.3,3.95,3.9,-1.0
47,757533005,ES,FOP,20250214,6090.0,P,CME,USD,EW2,6131.75,3.95,3.3,3.95,3.9,-1.0
48,757533189,ES,FOP,20250214,6090.0,C,CME,USD,EW2,6131.75,3.95,3.3,47.0,3.9,-1.0
49,757533189,ES,FOP,20250214,6090.0,C,CME,USD,EW2,6131.75,3.95,47.0,47.0,3.9,-1.0
50,757533189,ES,FOP,20250214,6090.0,C,CME,USD,EW2,6131.75,49.25,47.0,47.0,3.9,-1.0
51,757533189,ES,FOP,20250214,6090.0,C,CME,USD,EW2,6131.75,49.25,47.0,47.0,47.0,-1.0
52,757533189,ES,FOP,20250214,6090.0,C,CME,USD,EW2,6131.75,49.25,47.0,47.0,47.0,-1.0
53,757533189,ES,FOP,20250214,6090.0,C,CME,USD,EW2,6131.75,49.25,47.0,47.0,47.0,-1.0
54,759513595,ES,FOP,20250214,6095.0,C,CME,USD,EW2,6131.75,44.75,47.0,47.0,47.0,-1.0
55,759513595,ES,FOP,20250214,6095.0,C,CME,USD,EW2,6131.75,44.75,47.0,47.0,47.0,-1.0
56,759513595,ES,FOP,20250214,6095.0,C,CME,USD,EW2,6131.75,44.75,47.0,47.0,47.0,-1.0
57,759513847,ES,FOP,20250214,6095.0,P,CME,USD,EW2,6131.75,44.75,47.0,47.0,3.95,-1.0
58,759513847,ES,FOP,20250214,6095.0,P,CME,USD,EW2,6131.75,44.75,47.0,4.35,3.95,-1.0
59,759513847,ES,FOP,20250214,6095.0,P,CME,USD,EW2,6131.75,44.75,3.9,4.35,3.95,-1.0
60,759513847,ES,FOP,20250214,6095.0,P,CME,USD,EW2,6131.75,4.55,3.9,4.35,3.95,-1.0
61,759513847,ES,FOP,20250214,6095.0,P,CME,USD,EW2,6131.75,4.55,3.9,4.35,3.95,-1.0
62,759513847,ES,FOP,20250214,6095.0,P,CME,USD,EW2,6131.75,4.55,3.9,4.35,3.95,-1.0
63,747767241,ES,FOP,20250214,6100.0,C,CME,USD,EW2,6131.75,40.5,3.9,4.35,3.95,-1.0
64,747767241,ES,FOP,20250214,6100.0,C,CME,USD,EW2,6131.75,40.5,3.9,4.35,3.95,-1.0
65,747767241,ES,FOP,20250214,6100.0,C,CME,USD,EW2,6131.75,40.5,3.9,4.35,3.95,-1.0
66,747767445,ES,FOP,20250214,6100.0,P,CME,USD,EW2,6131.75,40.5,3.9,4.35,4.6,-1.0
67,747767445,ES,FOP,20250214,6100.0,P,CME,USD,EW2,6131.75,40.5,3.9,5.35,4.6,-1.0
68,747767445,ES,FOP,20250214,6100.0,P,CME,USD,EW2,6131.75,40.5,4.45,5.35,4.6,-1.0
69,747767445,ES,FOP,20250214,6100.0,P,CME,USD,EW2,6131.75,5.3,4.45,5.35,4.6,-1.0
70,747767445,ES,FOP,20250214,6100.0,P,CME,USD,EW2,6131.75,5.3,4.45,5.35,4.6,-1.0
71,747767445,ES,FOP,20250214,6100.0,P,CME,USD,EW2,6131.75,5.3,4.45,5.35,4.6,-1.0
