,open,high,low,close,volume
20231123 07:23:00 Australia/Sydney,454.99,454.99,454.77,454.84,2164.21
20231123 07:24:00 Australia/Sydney,454.84,454.99,454.84,454.97,1570.7
20231123 07:25:00 Australia/Sydney,454.97,455.07,454.94,455.01,863.71
20231123 07:26:00 Australia/Sydney,455.02,455.17,454.98,455.11,1110.16
20231123 07:27:00 Australia/Sydney,455.11,455.18,455.04,455.16,873.56
20231123 07:28:00 Australia/Sydney,455.15,455.18,455.12,455.17,936.75
20231123 07:29:00 Australia/Sydney,455.17,455.3,455.14,455.28,963.73
20231123 07:30:00 Australia/Sydney,455.28,455.31,455.18,455.23,1132.99
20231123 07:31:00 Australia/Sydney,455.24,455.26,455.17,455.24,952.54
20231123 07:32:00 Australia/Sydney,455.24,455.24,455.17,455.19,702.47
20231123 07:33:00 Australia/Sydney,455.19,455.24,455.15,455.22,562.43
20231123 07:34:00 Australia/Sydney,455.22,455.29,455.21,455.25,717.74
20231123 07:35:00 Australia/Sydney,455.24,455.31,455.19,455.25,839.96
20231123 07:36:00 Australia/Sydney,455.25,455.26,455.2,455.26,928.75
20231123 07:37:00 Australia/Sydney,455.26,455.34,455.2,455.32,1034.4
20231123 07:38:00 Australia/Sydney,455.31,455.35,455.2,455.24,1379.82
20231123 07:39:00 Australia/Sydney,455.24,455.32,455.21,455.3,2409.99
20231123 07:40:00 Australia/Sydney,455.3,455.36,455.27,455.34,1806.09
20231123 07:41:00 Australia/Sydney,455.35,455.41,455.18,455.24,3169.49
20231123 07:42:00 Australia/Sydney,455.22,455.24,455.17,455.23,929.47
20231123 07:43:00 Australia/Sydney,455.23,455.28,455.16,455.22,1662.49
20231123 07:44:00 Australia/Sydney,455.22,455.23,455.14,455.16,1009.06
20231123 07:45:00 Australia/Sydney,455.16,455.26,455.13,455.21,1440.92
20231123 07:46:00 Australia/Sydney,455.21,455.26,455.11,455.22,1786.92
20231123 07:47:00 Australia/Sydney,455.22,455.23,455.13,455.2,1998.21
20231123 07:48:00 Australia/Sydney,455.2,455.31,455.19,455.27,2017.4
20231123 07:49:00 Australia/Sydney,455.27,455.27,455.14,455.2,2924.54
20231123 07:50:00 Australia/Sydney,455.17,455.27,455.09,455.1,3688.8
20231123 07:51:00 Australia/Sydney,455.09,455.16,455.03,455.13,2849.79
20231123 07:52:00 Australia/Sydney,455.12,455.16,455.04,455.07,1961.66
20231123 07:53:00 Australia/Sydney,455.08,455.15,455.05,455.08,2448.47
20231123 07:54:00 Australia/Sydney,455.08,455.18,455.07,455.11,2331.71
20231123 07:55:00 Australia/Sydney,455.1,455.22,455.07,455.2,2802.8
20231123 07:56:00 Australia/Sydney,455.21,455.24,455.11,455.11,2829.25
20231123 07:57:00 Australia/Sydney,455.12,455.24,455.11,455.15,3224.32
20231123 07:58:00 Australia/Sydney,455.14,455.22,455.13,455.19,4870.41
20231123 07:59:00 Australia/Sydney,455.19,455.28,454.98,455.03,8936.87
20231125 01:30:00 Australia/Sydney,455.07,455.11,454.85,454.86,3407.03
20231125 01:31:00 Australia/Sydney,454.86,455.21,454.77,455.17,2240.44
20231125 01:32:00 Australia/Sydney,455.16,455.31,455.11,455.29,1511.79
20231125 01:33:00 Australia/Sydney,455.28,455.39,455.27,455.33,1223.6
20231125 01:34:00 Australia/Sydney,455.32,455.34,455.2,455.25,594.65
20231125 01:35:00 Australia/Sydney,455.24,455.27,455.12,455.12,906.73
20231125 01:36:00 Australia/Sydney,455.12,455.13,454.97,455.12,1142.6
20231125 01:37:00 Australia/Sydney,455.12,455.13,454.96,454.99,1167.5
20231125 01:38:00 Australia/Sydney,454.99,455.0,454.84,454.89,718.66
20231125 01:39:00 Australia/Sydney,454.89,455.04,454.85,454.97,728.45
20231125 01:40:00 Australia/Sydney,454.98,454.99,454.94,454.99,533.06
20231125 01:41:00 Australia/Sydney,454.98,455.1,454.97,454.98,848.15
20231125 01:42:00 Australia/Sydney,454.98,455.06,454.97,455.02,779.55
20231125 01:43:00 Australia/Sydney,455.03,455.03,454.82,454.83,894.33
20231125 01:44:00 Australia/Sydney,454.83,454.98,454.81,454.89,772.52
20231125 01:45:00 Australia/Sydney,454.93,455.0,454.76,454.85,1470.56
20231125 01:46:00 Australia/Sydney,454.84,454.97,454.75,454.89,906.89
20231125 01:47:00 Australia/Sydney,454.9,454.93,454.73,454.79,780.44
20231125 01:48:00 Australia/Sydney,454.8,455.05,454.78,454.98,922.28
20231125 01:49:00 Australia/Sydney,454.98,455.03,454.86,454.89,1033.14
20231125 01:50:00 Australia/Sydney,454.89,455.08,454.88,455.02,347.85
20231125 01:51:00 Australia/Sydney,455.03,455.15,454.96,455.12,857.02
20231125 01:52:00 Australia/Sydney,455.12,455.14,455.01,455.03,909.81
20231125 01:53:00 Australia/Sydney,455.02,455.1,454.99,455.08,626.87
20231125 01:54:00 Australia/Sydney,455.08,455.14,455.05,455.12,384.02
20231125 01:55:00 Australia/Sydney,455.13,455.14,455.09,455.14,350.26
20231125 01:56:00 Australia/Sydney,455.14,455.22,455.06,455.2,669.87
20231125 01:57:00 Australia/Sydney,455.2,455.3,455.16,455.25,445.03
20231125 01:58:00 Australia/Sydney,455.25,455.28,455.19,455.26,275.82
20231125 01:59:00 Australia/Sydney,455.26,455.27,455.12,455.25,581
20231125 02:00:00 Australia/Sydney,455.26,455.5,455.24,455.4,1775.73
20231125 02:01:00 Australia/Sydney,455.39,455.44,455.29,455.36,747.81
20231125 02:02:00 Australia/Sydney,455.36,455.4,455.3,455.31,498.23
20231125 02:03:00 Australia/Sydney,455.32,455.39,455.31,455.35,428.77
20231125 02:04:00 Australia/Sydney,455.35,455.4,455.3,455.38,563.51
20231125 02:05:00 Australia/Sydney,455.38,455.4,455.29,455.3,527.31
20231125 02:06:00 Australia/Sydney,455.29,455.35,455.27,455.32,355.26
20231125 02:07:00 Australia/Sydney,455.32,455.34,455.23,455.25,603.63
20231125 02:08:00 Australia/Sydney,455.24,455.25,455.07,455.12,1334.38
20231125 02:09:00 Australia/Sydney,455.12,455.26,455.11,455.13,574.38
20231125 02:10:00 Australia/Sydney,455.14,455.19,455.03,455.1,512.64
20231125 02:11:00 Australia/Sydney,455.1,455.22,455.1,455.16,395.59
20231125 02:12:00 Australia/Sydney,455.16,455.16,455.06,455.1,570.57
20231125 02:13:00 Australia/Sydney,455.08,455.13,455.02,455.04,285.97
20231125 02:14:00 Australia/Sydney,455.04,455.07,454.91,454.97,509.89
20231125 02:15:00 Australia/Sydney,454.97,455.09,454.86,455.07,740.37
20231125 02:16:00 Australia/Sydney,455.08,455.08,454.9,454.91,622.07
20231125 02:17:00 Australia/Sydney,454.91,454.95,454.79,454.82,848.23
20231125 02:18:00 Australia/Sydney,454.84,454.93,454.8,454.92,729.19
20231125 02:19:00 Australia/Sydney,454.92,455.06,454.86,455.01,564.48
20231125 02:20:00 Australia/Sydney,455.0,455.12,455.0,455.08,489.55
20231125 02:21:00 Australia/Sydney,455.07,455.13,455.02,455.12,257.5
20231125 02:22:00 Australia/Sydney,455.12,455.13,454.93,454.93,395.46
20231125 02:23:00 Australia/Sydney,454.93,455.0,454.89,455.0,455.5
20231125 02:24:00 Australia/Sydney,455.0,455.09,454.98,454.99,558.49
20231125 02:25:00 Australia/Sydney,454.99,455.05,454.98,455.0,208.1
20231125 02:26:00 Australia/Sydney,455.01,455.06,454.89,454.95,818.31
20231125 02:27:00 Australia/Sydney,454.95,455.01,454.92,454.98,536.3
20231125 02:28:00 Australia/Sydney,454.97,455.0,454.89,454.98,783
20231125 02:29:00 Australia/Sydney,454.98,455.01,454.92,454.98,1953.03
20231125 02:30:00 Australia/Sydney,454.99,455.08,454.94,455.06,869.97
20231125 02:31:00 Australia/Sydney,455.06,455.08,455.03,455.07,1165.02
20231125 02:32:00 Australia/Sydney,455.07,455.16,455.07,455.12,406.69
20231125 02:33:00 Australia/Sydney,455.11,455.11,455.01,455.05,452.24
20231125 02:34:00 Australia/Sydney,455.03,455.08,454.98,455.01,288.71
20231125 02:35:00 Australia/Sydney,455.0,455.19,454.99,455.18,488.4
20231125 02:36:00 Australia/Sydney,455.18,455.23,455.08,455.1,1027.76
20231125 02:37:00 Australia/Sydney,455.1,455.14,454.84,455.01,1745.96
20231125 02:38:00 Australia/Sydney,455.0,455.03,454.92,454.99,388.61
20231125 02:39:00 Australia/Sydney,454.98,455.14,454.96,455.1,376.33
20231125 02:40:00 Australia/Sydney,455.1,455.18,455.09,455.17,512.1
20231125 02:41:00 Australia/Sydney,455.16,455.17,455.09,455.17,405.87
20231125 02:42:00 Australia/Sydney,455.17,455.22,455.14,455.21,633.83
20231125 02:43:00 Australia/Sydney,455.2,455.21,455.08,455.08,807.67
20231125 02:44:00 Australia/Sydney,455.08,455.11,455.03,455.05,450.98
20231125 02:45:00 Australia/Sydney,455.05,455.15,455.04,455.04,359.54
20231125 02:46:00 Australia/Sydney,455.04,455.07,455.0,455.06,334.13
20231125 02:47:00 Australia/Sydney,455.06,455.09,455.01,455.03,456.86
20231125 02:48:00 Australia/Sydney,455.03,455.12,455.02,455.08,693.47
20231125 02:49:00 Australia/Sydney,455.1,455.12,455.04,455.04,372.85
20231125 02:50:00 Australia/Sydney,455.03,455.04,454.88,454.93,754.11
20231125 02:51:00 Australia/Sydney,454.94,454.97,454.78,454.82,572.66
20231125 02:52:00 Australia/Sydney,454.81,454.88,454.73,454.86,871.55
20231125 02:53:00 Australia/Sydney,454.86,455.1,454.85,455.08,721.34
20231125 02:54:00 Australia/Sydney,455.09,455.11,455.05,455.05,437.55
20231125 02:55:00 Australia/Sydney,455.04,455.07,454.95,454.97,373.93
20231125 02:56:00 Australia/Sydney,454.96,455.03,454.94,455.0,483.33
20231125 02:57:00 Australia/Sydney,454.99,455.14,454.98,455.1,416.04
20231125 02:58:00 Australia/Sydney,455.1,455.17,455.1,455.15,303.46
20231125 02:59:00 Australia/Sydney,455.15,455.19,455.09,455.13,397.24
20231125 03:00:00 Australia/Sydney,455.14,455.19,455.1,455.13,373.11
20231125 03:01:00 Australia/Sydney,455.14,455.22,455.14,455.22,265.47
20231125 03:02:00 Australia/Sydney,455.2,455.21,455.15,455.16,305.87
20231125 03:03:00 Australia/Sydney,455.16,455.17,455.07,455.09,355.43
20231125 03:04:00 Australia/Sydney,455.09,455.12,455.05,455.09,455.46
20231125 03:05:00 Australia/Sydney,455.09,455.1,454.93,454.96,683.73
20231125 03:06:00 Australia/Sydney,454.96,455.06,454.95,455.02,468.21
20231125 03:07:00 Australia/Sydney,455.03,455.12,455.03,455.09,224.22
20231125 03:08:00 Australia/Sydney,455.08,455.16,455.07,455.16,149.81
20231125 03:09:00 Australia/Sydney,455.16,455.21,455.13,455.13,212.88
20231125 03:10:00 Australia/Sydney,455.12,455.19,455.11,455.16,323.7
20231125 03:11:00 Australia/Sydney,455.16,455.22,455.11,455.11,290.94
20231125 03:12:00 Australia/Sydney,455.12,455.24,455.12,455.23,369.21
20231125 03:13:00 Australia/Sydney,455.22,455.22,455.11,455.11,558.59
20231125 03:14:00 Australia/Sydney,455.12,455.21,455.09,455.17,343.83
20231125 03:15:00 Australia/Sydney,455.16,455.22,455.14,455.19,584.23
20231125 03:16:00 Australia/Sydney,455.18,455.19,455.11,455.15,691.99
20231125 03:17:00 Australia/Sydney,455.15,455.19,455.1,455.13,526.66
20231125 03:18:00 Australia/Sydney,455.13,455.15,455.08,455.09,323.59
20231125 03:19:00 Australia/Sydney,455.09,455.18,455.08,455.1,504.59
20231125 03:20:00 Australia/Sydney,455.12,455.19,455.12,455.19,273.48
20231125 03:21:00 Australia/Sydney,455.19,455.19,455.11,455.13,264.49
20231125 03:22:00 Australia/Sydney,455.14,455.17,455.09,455.09,256.77
20231125 03:23:00 Australia/Sydney,455.09,455.1,454.99,455.02,829.53
20231125 03:24:00 Australia/Sydney,455.02,455.12,455.01,455.07,786.53
20231125 03:25:00 Australia/Sydney,455.08,455.14,454.99,455.06,1283.6
20231125 03:26:00 Australia/Sydney,455.05,455.06,455.0,455.01,332.4
20231125 03:27:00 Australia/Sydney,455.0,455.02,454.96,455.0,935.58
20231125 03:28:00 Australia/Sydney,454.99,454.99,454.89,454.92,694.93
20231125 03:29:00 Australia/Sydney,454.92,455.06,454.9,455.05,777.71
20231125 03:30:00 Australia/Sydney,455.05,455.11,455.04,455.09,694.82
20231125 03:31:00 Australia/Sydney,455.08,455.09,454.99,455.0,366.48
20231125 03:32:00 Australia/Sydney,454.99,455.02,454.92,454.96,460.81
20231125 03:33:00 Australia/Sydney,454.96,455.02,454.95,455.02,250.65
20231125 03:34:00 Australia/Sydney,455.02,455.05,454.94,454.95,297.54
20231125 03:35:00 Australia/Sydney,454.96,455.06,454.94,455.06,264.07
20231125 03:36:00 Australia/Sydney,455.07,455.13,455.05,455.09,662.94
20231125 03:37:00 Australia/Sydney,455.09,455.09,454.99,455.01,409.51
20231125 03:38:00 Australia/Sydney,455.01,455.01,454.93,454.97,288.17
20231125 03:39:00 Australia/Sydney,454.96,454.97,454.9,454.91,325.19
20231125 03:40:00 Australia/Sydney,454.92,454.99,454.9,454.99,509.03
20231125 03:41:00 Australia/Sydney,454.98,455.01,454.93,454.97,600.31
20231125 03:42:00 Australia/Sydney,454.97,455.01,454.94,454.99,333.45
20231125 03:43:00 Australia/Sydney,455.0,455.03,454.97,455.0,445.22
20231125 03:44:00 Australia/Sydney,455.0,455.04,454.91,454.92,936.87
20231125 03:45:00 Australia/Sydney,454.93,455.0,454.91,454.98,614.86
20231125 03:46:00 Australia/Sydney,455.0,455.01,454.95,455.0,572.08
20231125 03:47:00 Australia/Sydney,454.99,455.01,454.94,454.97,407.63
20231125 03:48:00 Australia/Sydney,454.98,455.02,454.98,455.0,335.8
20231125 03:49:00 Australia/Sydney,454.99,454.99,454.9,454.92,462.37
20231125 03:50:00 Australia/Sydney,454.92,454.99,454.91,454.96,376.49
20231125 03:51:00 Australia/Sydney,454.95,454.99,454.91,454.95,317.13
20231125 03:52:00 Australia/Sydney,454.95,454.98,454.92,454.97,315.31
20231125 03:53:00 Australia/Sydney,454.97,455.0,454.92,454.98,261.75
20231125 03:54:00 Australia/Sydney,454.99,455.01,454.92,454.93,442.39
20231125 03:55:00 Australia/Sydney,454.93,454.98,454.91,454.98,410.23
20231125 03:56:00 Australia/Sydney,454.98,455.04,454.97,455.03,331.71
20231125 03:57:00 Australia/Sydney,455.02,455.03,454.97,454.97,206.68
20231125 03:58:00 Australia/Sydney,454.98,455.0,454.9,454.94,471.5
20231125 03:59:00 Australia/Sydney,454.94,454.96,454.88,454.95,480.08
20231125 04:00:00 Australia/Sydney,454.96,454.96,454.9,454.92,429.35
20231125 04:01:00 Australia/Sydney,454.92,455.05,454.9,454.97,624.88
20231125 04:02:00 Australia/Sydney,454.98,455.08,454.94,455.06,587.66
20231125 04:03:00 Australia/Sydney,455.05,455.06,454.9,454.91,553.12
20231125 04:04:00 Australia/Sydney,454.92,454.95,454.88,454.92,426.67
20231125 04:05:00 Australia/Sydney,454.92,454.93,454.85,454.87,537.23
20231125 04:06:00 Australia/Sydney,454.87,454.99,454.86,454.98,447.02
20231125 04:07:00 Australia/Sydney,454.98,454.98,454.91,454.92,381.49
20231125 04:08:00 Australia/Sydney,454.92,454.97,454.91,454.97,232.05
20231125 04:09:00 Australia/Sydney,454.97,455.01,454.96,455.0,288.6
20231125 04:10:00 Australia/Sydney,454.99,455.1,454.96,455.09,455.6
20231125 04:11:00 Australia/Sydney,455.09,455.09,454.99,455.04,810.54
20231125 04:12:00 Australia/Sydney,455.04,455.05,455.0,455.01,205.8
20231125 04:13:00 Australia/Sydney,455.01,455.07,455.01,455.03,341.79
20231125 04:14:00 Australia/Sydney,455.02,455.11,455.02,455.07,617.73
20231125 04:15:00 Australia/Sydney,455.07,455.11,455.01,455.09,380.74
20231125 04:16:00 Australia/Sydney,455.09,455.12,455.05,455.12,300.42
20231125 04:17:00 Australia/Sydney,455.12,455.14,455.04,455.07,348.49
20231125 04:18:00 Australia/Sydney,455.07,455.1,455.01,455.01,329.39
20231125 04:19:00 Australia/Sydney,455.01,455.12,455.0,455.12,529.1
20231125 04:20:00 Australia/Sydney,455.11,455.13,455.04,455.05,321.23
20231125 04:21:00 Australia/Sydney,455.04,455.04,455.01,455.02,279.8
20231125 04:22:00 Australia/Sydney,455.02,455.02,454.87,454.93,1719.24
20231125 04:23:00 Australia/Sydney,454.93,454.94,454.89,454.94,569.89
20231125 04:24:00 Australia/Sydney,454.93,454.95,454.89,454.9,720.41
20231125 04:25:00 Australia/Sydney,454.91,455.03,454.9,455.02,575.22
20231125 04:26:00 Australia/Sydney,455.02,455.05,454.97,455.04,540.7
20231125 04:27:00 Australia/Sydney,455.04,455.06,454.92,454.93,540.61
20231125 04:28:00 Australia/Sydney,454.93,455.01,454.92,454.95,556.04
20231125 04:29:00 Australia/Sydney,454.94,454.95,454.85,454.86,807.58
20231125 04:30:00 Australia/Sydney,454.86,454.94,454.82,454.94,1170.44
20231125 04:31:00 Australia/Sydney,454.94,454.98,454.89,454.95,1339.77
20231125 04:32:00 Australia/Sydney,454.95,454.96,454.89,454.89,313.8
20231125 04:33:00 Australia/Sydney,454.89,455.01,454.88,454.98,707.15
20231125 04:34:00 Australia/Sydney,454.99,455.04,454.98,455.02,591.07
20231125 04:35:00 Australia/Sydney,455.02,455.05,454.97,455.03,787.98
20231125 04:36:00 Australia/Sydney,455.03,455.04,454.95,454.97,656.01
20231125 04:37:00 Australia/Sydney,454.97,455.03,454.97,455.03,639
20231125 04:38:00 Australia/Sydney,455.03,455.03,454.96,455.03,660.77
20231125 04:39:00 Australia/Sydney,455.03,455.07,455.02,455.06,681
20231125 04:40:00 Australia/Sydney,455.06,455.1,454.96,454.96,693.86
20231125 04:41:00 Australia/Sydney,454.96,455.05,454.93,454.99,506.45
20231125 04:42:00 Australia/Sydney,454.99,455.03,454.97,455.02,343.46
20231125 04:43:00 Australia/Sydney,455.02,455.04,454.92,455.02,494.3
20231125 04:44:00 Australia/Sydney,455.03,455.03,454.86,454.88,723.82
20231125 04:45:00 Australia/Sydney,454.89,454.97,454.88,454.92,798.02
20231125 04:46:00 Australia/Sydney,454.92,455.06,454.91,455.03,1129.09
20231125 04:47:00 Australia/Sydney,455.03,455.13,455.03,455.08,1065.65
20231125 04:48:00 Australia/Sydney,455.07,455.1,455.04,455.09,718.09
20231125 04:49:00 Australia/Sydney,455.08,455.08,454.93,454.98,857.62
20231125 04:50:00 Australia/Sydney,454.97,455.04,454.88,454.97,1225.09
20231125 04:51:00 Australia/Sydney,454.96,455.02,454.94,454.98,1994.24
20231125 04:52:00 Australia/Sydney,454.98,455.03,454.95,454.96,1098.07
20231125 04:53:00 Australia/Sydney,454.95,455.04,454.9,455.04,1512.09
20231125 04:54:00 Australia/Sydney,455.04,455.19,455.03,455.14,1258.99
20231125 04:55:00 Australia/Sydney,455.13,455.17,455.11,455.16,1187.66
20231125 04:56:00 Australia/Sydney,455.16,455.21,455.12,455.2,1264.07
20231125 04:57:00 Australia/Sydney,455.2,455.23,455.16,455.21,1576.8
20231125 04:58:00 Australia/Sydney,455.2,455.23,455.17,455.22,2231.98
20231125 04:59:00 Australia/Sydney,455.22,455.33,455.2,455.26,5427.19
