conId,symbol,secType,expiration,strike,right,exchange,currency,tradingClass,openPrice,closePrice,lowPrice,highPrice,lastPrice,tradingVolume,tickType,impliedVol,delta,optPrice,pvDividend,gamma,vega,theta,undPrice
757532961,ES,FOP,20250214,6080.0,P,CME,USD,EW2,6131.75,6135.25,6131.25,6144.75,1.85,-1.0,10.0,0.17287724642613497,-0.0817900068750458,1.7000000476837158,0.0,0.0033166652847582785,0.39854489329809833,-1.7000000476837158,
757532961,ES,FOP,20250214,6080.0,P,CME,USD,EW2,6131.75,6135.25,6131.25,6144.75,1.85,-1.0,11.0,0.17656836618523006,-0.08625755030334786,1.850000023841858,0.0,0.003379626962369576,0.41478155152390195,-1.850000023841858,
757532961,ES,FOP,20250214,6080.0,P,CME,USD,EW2,6131.75,6135.25,6131.25,6144.75,1.85,-1.0,12.0,0.17428259372363109,-0.08349221858669906,1.850000023841858,0.0,0.0033413216708379294,0.40477163323854415,-1.850000023841858,
757532961,ES,FOP,20250214,6080.0,P,CME,USD,EW2,6131.75,6135.25,6131.25,6144.75,1.85,-1.0,13.0,0.17463256886557088,-0.08386029708055022,1.770585663115071,0.0,0.0033465454462928974,0.4275291916162587,-1.770585663115071,
757532961,ES,FOP,20250214,6080.0,P,CME,USD,EW2,6131.75,6135.25,6131.25,2.8,1.85,-1.0,10.0,0.17287724642613497,-0.0817900068750458,1.7000000476837158,0.0,0.0033166652847582785,0.39854489329809833,-1.7000000476837158,
757532961,ES,FOP,20250214,6080.0,P,CME,USD,EW2,6131.75,6135.25,6131.25,2.8,1.85,-1.0,11.0,0.17656836618523006,-0.08625755030334786,1.850000023841858,0.0,0.003379626962369576,0.41478155152390195,-1.850000023841858,
757532961,ES,FOP,20250214,6080.0,P,CME,USD,EW2,6131.75,6135.25,6131.25,2.8,1.85,-1.0,12.0,0.17428259372363109,-0.08349221858669906,1.850000023841858,0.0,0.0033413216708379294,0.40477163323854415,-1.850000023841858,
757532961,ES,FOP,20250214,6080.0,P,CME,USD,EW2,6131.75,6135.25,6131.25,2.8,1.85,-1.0,13.0,0.17463256886557088,-0.08386029708055022,1.770585663115071,0.0,0.0033465454462928974,0.4275291916162587,-1.770585663115071,
757532961,ES,FOP,20250214,6080.0,P,CME,USD,EW2,6131.75,6135.25,1.85,2.8,1.85,-1.0,10.0,0.17287724642613497,-0.0817900068750458,1.7000000476837158,0.0,0.0033166652847582785,0.39854489329809833,-1.7000000476837158,
757532961,ES,FOP,20250214,6080.0,P,CME,USD,EW2,6131.75,6135.25,1.85,2.8,1.85,-1.0,11.0,0.17656836618523006,-0.08625755030334786,1.850000023841858,0.0,0.003379626962369576,0.41478155152390195,-1.850000023841858,
757532961,ES,FOP,20250214,6080.0,P,CME,USD,EW2,6131.75,6135.25,1.85,2.8,1.85,-1.0,12.0,0.17428259372363109,-0.08349221858669906,1.850000023841858,0.0,0.0033413216708379294,0.40477163323854415,-1.850000023841858,
757532961,ES,FOP,20250214,6080.0,P,CME,USD,EW2,6131.75,6135.25,1.85,2.8,1.85,-1.0,13.0,0.17463256886557088,-0.08386029708055022,1.770585663115071,0.0,0.0033465454462928974,0.4275291916162587,-1.770585663115071,
757532961,ES,FOP,20250214,6080.0,P,CME,USD,EW2,6131.75,2.95,1.85,2.8,1.85,-1.0,10.0,0.17287724642613497,-0.0817900068750458,1.7000000476837158,0.0,0.0033166652847582785,0.39854489329809833,-1.7000000476837158,
757532961,ES,FOP,20250214,6080.0,P,CME,USD,EW2,6131.75,2.95,1.85,2.8,1.85,-1.0,11.0,0.17656836618523006,-0.08625755030334786,1.850000023841858,0.0,0.003379626962369576,0.41478155152390195,-1.850000023841858,
757532961,ES,FOP,20250214,6080.0,P,CME,USD,EW2,6131.75,2.95,1.85,2.8,1.85,-1.0,12.0,0.17428259372363109,-0.08349221858669906,1.850000023841858,0.0,0.0033413216708379294,0.40477163323854415,-1.850000023841858,
757532961,ES,FOP,20250214,6080.0,P,CME,USD,EW2,6131.75,2.95,1.85,2.8,1.85,-1.0,13.0,0.17463256886557088,-0.08386029708055022,1.770585663115071,0.0,0.0033465454462928974,0.4275291916162587,-1.770585663115071,
757532961,ES,FOP,20250214,6080.0,P,CME,USD,EW2,6131.75,2.95,1.85,2.8,1.85,-1.0,10.0,0.17287724642613497,-0.0817900068750458,1.7000000476837158,0.0,0.0033166652847582785,0.39854489329809833,-1.7000000476837158,
757532961,ES,FOP,20250214,6080.0,P,CME,USD,EW2,6131.75,2.95,1.85,2.8,1.85,-1.0,11.0,0.17656836618523006,-0.08625755030334786,1.850000023841858,0.0,0.003379626962369576,0.41478155152390195,-1.850000023841858,
757532961,ES,FOP,20250214,6080.0,P,CME,USD,EW2,6131.75,2.95,1.85,2.8,1.85,-1.0,12.0,0.17428259372363109,-0.08349221858669906,1.850000023841858,0.0,0.0033413216708379294,0.40477163323854415,-1.850000023841858,
757532961,ES,FOP,20250214,6080.0,P,CME,USD,EW2,6131.75,2.95,1.85,2.8,1.85,-1.0,13.0,0.17463256886557088,-0.08386029708055022,1.770585663115071,0.0,0.0033465454462928974,0.4275291916162587,-1.770585663115071,
757532961,ES,FOP,20250214,6080.0,P,CME,USD,EW2,6131.75,2.95,1.85,2.8,1.85,-1.0,10.0,0.17287724642613497,-0.0817900068750458,1.7000000476837158,0.0,0.0033166652847582785,0.39854489329809833,-1.7000000476837158,
