Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,SMA_50,EMA_50,SMA_200,EMA_200,SwingBuy_Signal,SwingSell_Signal,EMA_12,EMA_26,MACD,Signal_Line,Buy_Signal_MACD,Sell_Signal_MACD,Combined_Buy_Signal,Combined_Sell_Signal,RSI,RSI_Signal
2022-01-03,4796.56005859375,4796.64013671875,4758.169921875,4778.14013671875,3831020000,,4796.56005859375,,4796.56005859375,,4796.56005859375,False,False,4796.56005859375,4796.56005859375,0.0,0.0,False,False,False,False,,False
2022-01-04,4793.5400390625,4818.6201171875,4774.27001953125,4804.509765625,4683170000,,4796.2724376860115,,4796.44162645527,,4796.530008648166,False,False,4796.095440204327,4796.336353443287,-0.2409132389602746,-0.048182647792054924,False,True,False,False,,False
2022-01-05,4700.580078125,4797.7001953125,4699.43994140625,4787.990234375,4887960000,,4787.158879632581,,4792.682350050161,,4795.575282971318,False,False,4781.4007691152,4789.243296012303,-7.842526897103198,-1.6070514976542838,False,True,False,False,,False
2022-01-06,4696.0498046875,4725.009765625,4671.259765625,4693.39013671875,4295280000,,4778.4818248759075,,4788.892838467312,,4794.584979704813,False,False,4768.269851510939,4782.340074432688,-14.070222921749519,-4.0996857824733315,False,True,False,False,,False
2022-01-07,4677.02978515625,4707.9501953125,4662.740234375,4697.66015625,4181510000,,4768.819725854988,,4784.506052062957,,4793.41527627647,False,False,4754.232918225602,4774.5393122640635,-20.306394038461804,-7.341027433671027,False,True,False,False,,False
2022-01-10,4670.2900390625,4673.02001953125,4582.240234375,4655.33984375,4511810000,,4759.435946160465,,4780.026992729606,,4792.1901495380225,False,False,4741.318629123586,4766.817143878763,-25.498514755176984,-10.972524897972217,False,True,False,False,,False
2022-01-11,4713.06982421875,4714.1298828125,4638.27001953125,4669.14013671875,4101590000,,4755.0201250231585,,4777.4012214154545,,4791.402882619423,False,False,4736.972659138227,4762.835860940984,-25.86320180275743,-13.950660278929261,False,True,False,False,,False
2022-01-12,4726.35009765625,4748.830078125,4706.7099609375,4728.58984375,4048220000,,4752.289646226311,,4775.399216562152,,4790.755591226754,False,False,4735.338418910231,4760.133211808782,-24.79479289855135,-16.11948680285368,False,True,False,False,,False
2022-01-13,4659.02978515625,4744.1298828125,4650.2900390625,4733.56005859375,4251730000,,4743.407754695829,,4770.835709448195,,4789.44488668874,False,False,4723.598629101926,4752.64406909378,-29.045439991853527,-18.70467744065365,False,True,False,False,,False
2022-01-14,4662.85009765625,4665.1298828125,4614.75,4637.990234375,4338490000,,4735.735596882536,,4766.600979574002,,4788.185237046626,False,False,4714.252701187207,4745.992663802111,-31.73996261490356,-21.311734475503634,False,True,False,False,,False
