conId,symbol,secType,expiration,strike,right,exchange,currency,tradingClass
759088750,ES,FOP,20250304,5790.0,P,CME,USD,E1B
759089085,ES,FOP,20250304,5790.0,C,CME,USD,E1B
764045761,ES,FOP,20250304,5795.0,C,CME,USD,E1B
764046120,ES,FOP,20250304,5795.0,P,CME,USD,E1B
757525087,ES,FOP,20250304,5800.0,P,CME,USD,E1B
757526150,ES,FOP,20250304,5800.0,C,CME,USD,E1B
764045898,ES,FOP,20250304,5805.0,C,CME,USD,E1B
764045970,ES,FOP,20250304,5805.0,P,CME,USD,E1B
759088737,ES,FOP,20250304,5810.0,C,CME,USD,E1B
759088870,ES,FOP,20250304,5810.0,P,CME,USD,E1B
764045838,ES,FOP,20250304,5815.0,C,CME,USD,E1B
764046338,ES,FOP,20250304,5815.0,P,CME,USD,E1B
759088893,ES,FOP,20250304,5820.0,P,CME,USD,E1B
759089105,ES,FOP,20250304,5820.0,C,CME,USD,E1B
757525037,ES,FOP,20250304,5825.0,C,CME,USD,E1B
757525527,ES,FOP,20250304,5825.0,P,CME,USD,E1B
759088768,ES,FOP,20250304,5830.0,P,CME,USD,E1B
759088944,ES,FOP,20250304,5830.0,C,CME,USD,E1B
764045961,ES,FOP,20250304,5835.0,P,CME,USD,E1B
764046078,ES,FOP,20250304,5835.0,C,CME,USD,E1B
759088836,ES,FOP,20250304,5840.0,P,CME,USD,E1B
759089025,ES,FOP,20250304,5840.0,C,CME,USD,E1B
764045816,ES,FOP,20250304,5845.0,P,CME,USD,E1B
764046134,ES,FOP,20250304,5845.0,C,CME,USD,E1B
757525522,ES,FOP,20250304,5850.0,C,CME,USD,E1B
757525716,ES,FOP,20250304,5850.0,P,CME,USD,E1B
764045885,ES,FOP,20250304,5855.0,C,CME,USD,E1B
764046378,ES,FOP,20250304,5855.0,P,CME,USD,E1B
759088919,ES,FOP,20250304,5860.0,P,CME,USD,E1B
759089074,ES,FOP,20250304,5860.0,C,CME,USD,E1B
764046038,ES,FOP,20250304,5865.0,C,CME,USD,E1B
764046095,ES,FOP,20250304,5865.0,P,CME,USD,E1B
759089155,ES,FOP,20250304,5870.0,P,CME,USD,E1B
759089161,ES,FOP,20250304,5870.0,C,CME,USD,E1B
757525032,ES,FOP,20250304,5875.0,C,CME,USD,E1B
757526202,ES,FOP,20250304,5875.0,P,CME,USD,E1B
759088662,ES,FOP,20250304,5880.0,C,CME,USD,E1B
759088825,ES,FOP,20250304,5880.0,P,CME,USD,E1B
764046635,ES,FOP,20250304,5885.0,C,CME,USD,E1B
764046913,ES,FOP,20250304,5885.0,P,CME,USD,E1B
759088733,ES,FOP,20250304,5890.0,P,CME,USD,E1B
759088954,ES,FOP,20250304,5890.0,C,CME,USD,E1B
764045908,ES,FOP,20250304,5895.0,C,CME,USD,E1B
764045998,ES,FOP,20250304,5895.0,P,CME,USD,E1B
757525482,ES,FOP,20250304,5900.0,P,CME,USD,E1B
757526032,ES,FOP,20250304,5900.0,C,CME,USD,E1B
764045862,ES,FOP,20250304,5905.0,P,CME,USD,E1B
764045905,ES,FOP,20250304,5905.0,C,CME,USD,E1B
759088752,ES,FOP,20250304,5910.0,P,CME,USD,E1B
759089175,ES,FOP,20250304,5910.0,C,CME,USD,E1B
764045933,ES,FOP,20250304,5915.0,P,CME,USD,E1B
764045955,ES,FOP,20250304,5915.0,C,CME,USD,E1B
759088773,ES,FOP,20250304,5920.0,C,CME,USD,E1B
759088920,ES,FOP,20250304,5920.0,P,CME,USD,E1B
757525596,ES,FOP,20250304,5925.0,C,CME,USD,E1B
757525882,ES,FOP,20250304,5925.0,P,CME,USD,E1B
759088798,ES,FOP,20250304,5930.0,P,CME,USD,E1B
759089088,ES,FOP,20250304,5930.0,C,CME,USD,E1B
764046675,ES,FOP,20250304,5935.0,C,CME,USD,E1B
764047018,ES,FOP,20250304,5935.0,P,CME,USD,E1B
759088740,ES,FOP,20250304,5940.0,P,CME,USD,E1B
759089195,ES,FOP,20250304,5940.0,C,CME,USD,E1B
764046029,ES,FOP,20250304,5945.0,C,CME,USD,E1B
764047001,ES,FOP,20250304,5945.0,P,CME,USD,E1B
757525091,ES,FOP,20250304,5950.0,P,CME,USD,E1B
757526270,ES,FOP,20250304,5950.0,C,CME,USD,E1B
764046137,ES,FOP,20250304,5955.0,C,CME,USD,E1B
764046604,ES,FOP,20250304,5955.0,P,CME,USD,E1B
759088710,ES,FOP,20250304,5960.0,P,CME,USD,E1B
759088858,ES,FOP,20250304,5960.0,C,CME,USD,E1B
764046373,ES,FOP,20250304,5965.0,P,CME,USD,E1B
764046962,ES,FOP,20250304,5965.0,C,CME,USD,E1B
759089002,ES,FOP,20250304,5970.0,P,CME,USD,E1B
759089198,ES,FOP,20250304,5970.0,C,CME,USD,E1B
757525100,ES,FOP,20250304,5975.0,P,CME,USD,E1B
757526233,ES,FOP,20250304,5975.0,C,CME,USD,E1B
759088665,ES,FOP,20250304,5980.0,C,CME,USD,E1B
759088828,ES,FOP,20250304,5980.0,P,CME,USD,E1B
764046097,ES,FOP,20250304,5985.0,P,CME,USD,E1B
764046615,ES,FOP,20250304,5985.0,C,CME,USD,E1B
759088702,ES,FOP,20250304,5990.0,P,CME,USD,E1B
759088992,ES,FOP,20250304,5990.0,C,CME,USD,E1B
764045859,ES,FOP,20250304,5995.0,P,CME,USD,E1B
764046669,ES,FOP,20250304,5995.0,C,CME,USD,E1B
757525785,ES,FOP,20250304,6000.0,P,CME,USD,E1B
757526197,ES,FOP,20250304,6000.0,C,CME,USD,E1B
764045810,ES,FOP,20250304,6005.0,P,CME,USD,E1B
764046908,ES,FOP,20250304,6005.0,C,CME,USD,E1B
759088783,ES,FOP,20250304,6010.0,C,CME,USD,E1B
759088795,ES,FOP,20250304,6010.0,P,CME,USD,E1B
764045774,ES,FOP,20250304,6015.0,P,CME,USD,E1B
764045850,ES,FOP,20250304,6015.0,C,CME,USD,E1B
759088973,ES,FOP,20250304,6020.0,P,CME,USD,E1B
759089093,ES,FOP,20250304,6020.0,C,CME,USD,E1B
757525187,ES,FOP,20250304,6025.0,C,CME,USD,E1B
757525232,ES,FOP,20250304,6025.0,P,CME,USD,E1B
