Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,SMA_50,EMA_50,SMA_200,EMA_200,SwingBuy_Signal,SwingSell_Signal,EMA_12,EMA_26,MACD,Signal_Line,Buy_Signal_MACD,Sell_Signal_MACD,Combined_Buy_Signal,Combined_Sell_Signal,RSI,RSI_Signal
2022-01-03,16501.76953125,16504.140625,16306.6396484375,16395.509765625,4429960000,,16501.76953125,,16501.76953125,,16501.76953125,False,False,16501.76953125,16501.76953125,0.0,0.0,False,False,False,False,,False
2022-01-04,16279.73046875,16513.869140625,16151.900390625,16513.869140625,5131110000,,16480.622953869046,,16493.062117034315,,16499.56018734453,False,False,16467.60967548077,16485.322193287036,-17.712517806266987,-3.5425035612533975,False,True,False,False,,False
2022-01-05,15771.7802734375,16249.23046875,15763.83984375,16190.5498046875,5031850000,,16413.11412716128,,16464.77655454032,,16492.318596161378,False,False,16360.558998243343,16432.467236261145,-71.90823801780243,-17.215650452563207,False,True,False,False,,False
2022-01-06,15765.3603515625,15900.599609375,15608.5703125,15675.2197265625,4790820000,,16351.423291389967,,16437.348468149034,,16485.085180792237,False,False,16268.98997567706,16383.051911468654,-114.0619357915948,-36.584907520369526,False,True,False,False,,False
2022-01-07,15592.1904296875,15835.0,15526.7998046875,15774.1298828125,4238070000,,16279.115399799255,,16404.205015660347,,16476.200655905624,False,False,16164.866968601742,16324.469579484865,-159.6026108831229,-61.188448192920205,False,True,False,False,,False
2022-01-10,15614.4296875,15627.919921875,15165.5302734375,15383.1796875,5317180000,,16215.811998627896,,16373.233434163863,,16467.625820399102,False,False,16080.184309970704,16271.87403193043,-191.68972195972674,-87.28870294628152,False,True,False,False,,False
2022-01-11,15844.1201171875,15848.5595703125,15496.91015625,15582.7197265625,4390710000,,16180.412771824049,,16352.483892321654,,16461.421783551225,False,False,16043.866741850212,16240.188556764286,-196.3218149140739,-109.09532533984,False,True,False,False,,False
2022-01-12,15905.099609375,16017.3896484375,15815.9501953125,15955.48046875,4338530000,,16154.192470638425,,16334.939410637473,,16455.886239529573,False,False,16022.517952238639,16215.367153253968,-192.84920101532953,-125.84610047493791,False,True,False,False,,False
2022-01-13,15495.6201171875,15990.3798828125,15468.08984375,15970.08984375,4302020000,,16091.47129411929,,16302.024928541397,,16446.3313527401,False,False,15941.456746846156,16162.052557989786,-220.59581114363027,-144.79604260867637,False,True,False,False,,False
2022-01-14,15611.58984375,15617.1796875,15396.4697265625,15396.4697265625,4374020000,,16045.768298846026,,16274.949042863303,,16438.025467078507,False,False,15890.70799252367,16121.277542120171,-230.56954959650102,-161.9507440062413,False,True,False,False,,False
2022-01-18,15210.759765625,15446.2998046875,15182.9599609375,15378.0595703125,5060790000,,15966.2436766345,,16233.21613003043,,16425.81386805907,False,False,15786.100573000798,16053.831780898307,-267.7312078975083,-183.10683678449473,False,True,False,False,,False
2022-01-19,15047.83984375,15382.0,15038.4404296875,15287.25,4665340000,,15878.776644931213,,16186.730785470414,,16412.102683737587,False,False,15672.521999269906,15979.313859628062,-306.79186035815655,-207.84384149922712,False,True,False,False,,False
2022-01-20,14846.4599609375,15347.6201171875,14832.6904296875,15176.3798828125,5102050000,,15780.460770265146,,16134.171145292652,,16396.52414918236,False,False,15545.435531834151,15895.398756021354,-349.9632241872023,-236.2677180368222,False,True,False,False,,False
2022-01-21,14438.400390625,14868.4501953125,14432.6396484375,14728.66015625,5870830000,,15652.645496013703,,16067.670331384117,,16377.040330689255,False,False,15375.122433186589,15787.472951177178,-412.35051799058965,-271.48427802757567,False,True,False,False,14.681967375337408,True
2022-01-24,14509.580078125,14532.5703125,13724.849609375,14160.91015625,6998770000,,15543.782122881446,,16006.568752824936,,16358.45863663389,False,False,15241.96207086942,15692.81421983998,-450.85214897055994,-307.35785221617255,False,True,False,False,16.711475587460285,True
2022-01-25,14149.1201171875,14410.4296875,14033.8095703125,14237.599609375,5019380000,,15410.957169958214,,15933.727629858764,,16336.475168778703,False,False,15073.83253953374,15578.466508532389,-504.6339689986489,-346.81307557266786,False,True,False,False,15.97260021866174,True
2022-01-26,14172.759765625,14646.5400390625,14006.400390625,14492.51953125,5771140000,,15293.033607640766,,15864.67006655548,,16314.945662279662,False,False,14935.205958932396,15474.340083131841,-539.1341241994451,-385.2772852980233,False,True,False,False,19.78895403609907,True
2022-01-27,14003.1103515625,14419.4501953125,13972.8798828125,14346.4599609375,5177380000,,15170.18377372855,,15791.667724791048,,16291.942325854618,False,False,14791.806634721643,15365.360103015595,-573.5534682939524,-422.93252189720914,False,True,False,False,18.63929306052877,True
2022-01-28,14454.6103515625,14457.7802734375,13880.48046875,14091.3095703125,4971930000,,15102.03392399845,,15739.234102311499,,16273.660415662656,False,False,14739.93028346639,15297.897158463515,-557.9668749971243,-449.9393925171922,False,True,False,False,31.580493648500607,False
2022-01-31,14930.0498046875,14934.51953125,14442.8798828125,14505.0703125,5124940000,15207.21904296875,15085.654484064074,,15707.501384757617,,16260.291155851959,False,False,14769.179440577329,15270.649206331958,-501.4697657546294,-460.24546716467967,False,True,False,False,40.336829680943914,False
2022-02-01,15019.6796875,15034.419921875,14749.490234375,14966.599609375,4671850000,15133.11455078125,15079.37117010559,,15680.527984865163,,16247.946763132039,False,False,14807.717940103892,15252.058871603665,-444.34093149977343,-457.0645600316984,True,False,False,False,37.879855045290455,False
2022-02-02,15139.740234375,15196.400390625,14960.849609375,15173.0302734375,4673140000,15076.1150390625,15085.120604797914,,15659.320622100842,,16236.919832497642,False,False,14858.798293068678,15243.73897254969,-384.9406794810129,-442.6397839215614,True,False,False,False,38.94052396082458,False
2022-02-03,14501.1103515625,14856.509765625,14471.2001953125,14693.849609375,4326300000,15012.58154296875,15029.500580680256,,15613.900611491496,,16219.648096368936,False,False,14803.769378990804,15188.729445069159,-384.96006607835443,-431.10384035292003,True,False,False,False,36.52187516212745,False
2022-02-04,14694.349609375,14832.0498046875,14452.2802734375,14566.2802734375,4121340000,14959.031005859375,14997.581440555945,,15577.839787879084,,16204.470996995862,False,False,14786.935568280682,15152.10871649922,-365.1731482185387,-417.91770192604383,True,False,False,False,37.824084732860854,False
2022-02-07,14571.25,14813.8603515625,14524.6298828125,14716.4296875,4268730000,14907.983984375,14956.978446217283,,15538.365678550494,,16188.220041801875,False,False,14753.753173160578,15109.082144906686,-355.32897174610844,-405.3999558900568,True,False,False,False,40.83504542884494,False
