conId,symbol,secType,expiration,strike,right,exchange,currency,tradingClass
772050753,ES,FOP,20250630,6075.0,P,CME,USD,EW
772050958,ES,FOP,20250630,6075.0,C,CME,USD,EW
792062280,ES,FOP,20250630,6075.0,C,CME,USD,ECES
792062285,ES,FOP,20250630,6075.0,P,CME,USD,ECES
788969049,ES,FOP,20250630,6080.0,P,CME,USD,EW
788969149,ES,FOP,20250630,6080.0,C,CME,USD,EW
794352387,ES,FOP,20250630,6080.0,C,CME,USD,ECES
794352390,ES,FOP,20250630,6080.0,P,CME,USD,ECES
793969106,ES,FOP,20250630,6085.0,C,CME,USD,EW
793969278,ES,FOP,20250630,6085.0,P,CME,USD,EW
788968864,ES,FOP,20250630,6090.0,P,CME,USD,EW
788969197,ES,FOP,20250630,6090.0,C,CME,USD,EW
794352396,ES,FOP,20250630,6090.0,C,CME,USD,ECES
794352408,ES,FOP,20250630,6090.0,P,CME,USD,ECES
793969475,ES,FOP,20250630,6095.0,C,CME,USD,EW
793969650,ES,FOP,20250630,6095.0,P,CME,USD,EW
675158682,ES,FOP,20250630,6100.0,P,CME,USD,EW
675158906,ES,FOP,20250630,6100.0,C,CME,USD,EW
772779877,ES,FOP,20250630,6100.0,C,CME,USD,ECES
772779887,ES,FOP,20250630,6100.0,P,CME,USD,ECES
793969263,ES,FOP,20250630,6105.0,P,CME,USD,EW
793969416,ES,FOP,20250630,6105.0,C,CME,USD,EW
788968874,ES,FOP,20250630,6110.0,C,CME,USD,EW
788968925,ES,FOP,20250630,6110.0,P,CME,USD,EW
794352427,ES,FOP,20250630,6110.0,C,CME,USD,ECES
794352432,ES,FOP,20250630,6110.0,P,CME,USD,ECES
793969315,ES,FOP,20250630,6115.0,P,CME,USD,EW
793969604,ES,FOP,20250630,6115.0,C,CME,USD,EW
788969008,ES,FOP,20250630,6120.0,P,CME,USD,EW
788969206,ES,FOP,20250630,6120.0,C,CME,USD,EW
794352437,ES,FOP,20250630,6120.0,C,CME,USD,ECES
794352450,ES,FOP,20250630,6120.0,P,CME,USD,ECES
772050666,ES,FOP,20250630,6125.0,P,CME,USD,EW
772050722,ES,FOP,20250630,6125.0,C,CME,USD,EW
792062334,ES,FOP,20250630,6125.0,C,CME,USD,ECES
792062347,ES,FOP,20250630,6125.0,P,CME,USD,ECES
788969143,ES,FOP,20250630,6130.0,P,CME,USD,EW
788969338,ES,FOP,20250630,6130.0,C,CME,USD,EW
794352467,ES,FOP,20250630,6130.0,C,CME,USD,ECES
794352470,ES,FOP,20250630,6130.0,P,CME,USD,ECES
793969094,ES,FOP,20250630,6135.0,C,CME,USD,EW
793969224,ES,FOP,20250630,6135.0,P,CME,USD,EW
788969192,ES,FOP,20250630,6140.0,P,CME,USD,EW
788969235,ES,FOP,20250630,6140.0,C,CME,USD,EW
794352480,ES,FOP,20250630,6140.0,C,CME,USD,ECES
794352490,ES,FOP,20250630,6140.0,P,CME,USD,ECES
793969395,ES,FOP,20250630,6145.0,C,CME,USD,EW
793969440,ES,FOP,20250630,6145.0,P,CME,USD,EW
703142038,ES,FOP,20250630,6150.0,C,CME,USD,EW
703142075,ES,FOP,20250630,6150.0,P,CME,USD,EW
780411916,ES,FOP,20250630,6150.0,C,CME,USD,ECES
780411922,ES,FOP,20250630,6150.0,P,CME,USD,ECES
793969097,ES,FOP,20250630,6155.0,C,CME,USD,EW
793969284,ES,FOP,20250630,6155.0,P,CME,USD,EW
788969182,ES,FOP,20250630,6160.0,C,CME,USD,EW
788969253,ES,FOP,20250630,6160.0,P,CME,USD,EW
794352500,ES,FOP,20250630,6160.0,C,CME,USD,ECES
794352510,ES,FOP,20250630,6160.0,P,CME,USD,ECES
793969384,ES,FOP,20250630,6165.0,P,CME,USD,EW
793969478,ES,FOP,20250630,6165.0,C,CME,USD,EW
788969086,ES,FOP,20250630,6170.0,C,CME,USD,EW
788969244,ES,FOP,20250630,6170.0,P,CME,USD,EW
794352516,ES,FOP,20250630,6170.0,C,CME,USD,ECES
794352526,ES,FOP,20250630,6170.0,P,CME,USD,ECES
772050589,ES,FOP,20250630,6175.0,C,CME,USD,EW
772050838,ES,FOP,20250630,6175.0,P,CME,USD,EW
792062391,ES,FOP,20250630,6175.0,C,CME,USD,ECES
792062397,ES,FOP,20250630,6175.0,P,CME,USD,ECES
788969203,ES,FOP,20250630,6180.0,P,CME,USD,EW
788969333,ES,FOP,20250630,6180.0,C,CME,USD,EW
794352543,ES,FOP,20250630,6180.0,C,CME,USD,ECES
794352553,ES,FOP,20250630,6180.0,P,CME,USD,ECES
793969121,ES,FOP,20250630,6185.0,C,CME,USD,EW
793969371,ES,FOP,20250630,6185.0,P,CME,USD,EW
788968942,ES,FOP,20250630,6190.0,C,CME,USD,EW
788969209,ES,FOP,20250630,6190.0,P,CME,USD,EW
794352556,ES,FOP,20250630,6190.0,C,CME,USD,ECES
794352567,ES,FOP,20250630,6190.0,P,CME,USD,ECES
793969205,ES,FOP,20250630,6195.0,C,CME,USD,EW
793969354,ES,FOP,20250630,6195.0,P,CME,USD,EW
675158605,ES,FOP,20250630,6200.0,P,CME,USD,EW
675158644,ES,FOP,20250630,6200.0,C,CME,USD,EW
772779905,ES,FOP,20250630,6200.0,C,CME,USD,ECES
772779915,ES,FOP,20250630,6200.0,P,CME,USD,ECES
793969484,ES,FOP,20250630,6205.0,C,CME,USD,EW
793969616,ES,FOP,20250630,6205.0,P,CME,USD,EW
788968840,ES,FOP,20250630,6210.0,C,CME,USD,EW
788969224,ES,FOP,20250630,6210.0,P,CME,USD,EW
794635625,ES,FOP,20250630,6210.0,C,CME,USD,ECES
794635634,ES,FOP,20250630,6210.0,P,CME,USD,ECES
793969576,ES,FOP,20250630,6215.0,C,CME,USD,EW
793969681,ES,FOP,20250630,6215.0,P,CME,USD,EW
788969006,ES,FOP,20250630,6220.0,C,CME,USD,EW
788969304,ES,FOP,20250630,6220.0,P,CME,USD,EW
794635639,ES,FOP,20250630,6220.0,C,CME,USD,ECES
794635650,ES,FOP,20250630,6220.0,P,CME,USD,ECES
772050742,ES,FOP,20250630,6225.0,P,CME,USD,EW
772050796,ES,FOP,20250630,6225.0,C,CME,USD,EW
792062439,ES,FOP,20250630,6225.0,C,CME,USD,ECES
792062445,ES,FOP,20250630,6225.0,P,CME,USD,ECES
788968834,ES,FOP,20250630,6230.0,P,CME,USD,EW
788969061,ES,FOP,20250630,6230.0,C,CME,USD,EW
794635667,ES,FOP,20250630,6230.0,C,CME,USD,ECES
794635673,ES,FOP,20250630,6230.0,P,CME,USD,ECES
793969330,ES,FOP,20250630,6235.0,P,CME,USD,EW
793969674,ES,FOP,20250630,6235.0,C,CME,USD,EW
788968854,ES,FOP,20250630,6240.0,C,CME,USD,EW
788969056,ES,FOP,20250630,6240.0,P,CME,USD,EW
794635680,ES,FOP,20250630,6240.0,C,CME,USD,ECES
794635685,ES,FOP,20250630,6240.0,P,CME,USD,ECES
793969590,ES,FOP,20250630,6245.0,C,CME,USD,EW
793969644,ES,FOP,20250630,6245.0,P,CME,USD,EW
703142023,ES,FOP,20250630,6250.0,C,CME,USD,EW
703142138,ES,FOP,20250630,6250.0,P,CME,USD,EW
781683844,ES,FOP,20250630,6250.0,C,CME,USD,ECES
781683854,ES,FOP,20250630,6250.0,P,CME,USD,ECES
793969635,ES,FOP,20250630,6255.0,P,CME,USD,EW
793969638,ES,FOP,20250630,6255.0,C,CME,USD,EW
