conId,symbol,secType,expiration,strike,right,exchange,currency,tradingClass
761994534,ES,FOP,20250224,6015.0,P,CME,USD,E4A
761994862,ES,FOP,20250224,6015.0,C,CME,USD,E4A
757530048,ES,FOP,20250224,6020.0,P,CME,USD,E4A
757530442,ES,FOP,20250224,6020.0,C,CME,USD,E4A
752257804,ES,FOP,20250224,6025.0,C,CME,USD,E4A
752257936,ES,FOP,20250224,6025.0,P,CME,USD,E4A
757530641,ES,FOP,20250224,6030.0,P,CME,USD,E4A
757530771,ES,FOP,20250224,6030.0,C,CME,USD,E4A
761994814,ES,FOP,20250224,6035.0,C,CME,USD,E4A
761994910,ES,FOP,20250224,6035.0,P,CME,USD,E4A
757530514,ES,FOP,20250224,6040.0,P,CME,USD,E4A
757530554,ES,FOP,20250224,6040.0,C,CME,USD,E4A
761994839,ES,FOP,20250224,6045.0,P,CME,USD,E4A
761994852,ES,FOP,20250224,6045.0,C,CME,USD,E4A
752257908,ES,FOP,20250224,6050.0,P,CME,USD,E4A
752257931,ES,FOP,20250224,6050.0,C,CME,USD,E4A
761994660,ES,FOP,20250224,6055.0,P,CME,USD,E4A
761994975,ES,FOP,20250224,6055.0,C,CME,USD,E4A
757530053,ES,FOP,20250224,6060.0,P,CME,USD,E4A
757530172,ES,FOP,20250224,6060.0,C,CME,USD,E4A
761994580,ES,FOP,20250224,6065.0,C,CME,USD,E4A
761994696,ES,FOP,20250224,6065.0,P,CME,USD,E4A
757530389,ES,FOP,20250224,6070.0,C,CME,USD,E4A
757530639,ES,FOP,20250224,6070.0,P,CME,USD,E4A
752257816,ES,FOP,20250224,6075.0,C,CME,USD,E4A
752257888,ES,FOP,20250224,6075.0,P,CME,USD,E4A
757530262,ES,FOP,20250224,6080.0,P,CME,USD,E4A
757530585,ES,FOP,20250224,6080.0,C,CME,USD,E4A
761994531,ES,FOP,20250224,6085.0,C,CME,USD,E4A
761994546,ES,FOP,20250224,6085.0,P,CME,USD,E4A
757530169,ES,FOP,20250224,6090.0,P,CME,USD,E4A
757530483,ES,FOP,20250224,6090.0,C,CME,USD,E4A
761994438,ES,FOP,20250224,6095.0,P,CME,USD,E4A
761994570,ES,FOP,20250224,6095.0,C,CME,USD,E4A
752257603,ES,FOP,20250224,6100.0,P,CME,USD,E4A
752257749,ES,FOP,20250224,6100.0,C,CME,USD,E4A
761994653,ES,FOP,20250224,6105.0,P,CME,USD,E4A
761994799,ES,FOP,20250224,6105.0,C,CME,USD,E4A
757530220,ES,FOP,20250224,6110.0,C,CME,USD,E4A
757530492,ES,FOP,20250224,6110.0,P,CME,USD,E4A
761994627,ES,FOP,20250224,6115.0,C,CME,USD,E4A
761994707,ES,FOP,20250224,6115.0,P,CME,USD,E4A
757530217,ES,FOP,20250224,6120.0,P,CME,USD,E4A
757530602,ES,FOP,20250224,6120.0,C,CME,USD,E4A
752257658,ES,FOP,20250224,6125.0,C,CME,USD,E4A
752257958,ES,FOP,20250224,6125.0,P,CME,USD,E4A
757530347,ES,FOP,20250224,6130.0,P,CME,USD,E4A
757530726,ES,FOP,20250224,6130.0,C,CME,USD,E4A
761994510,ES,FOP,20250224,6135.0,P,CME,USD,E4A
761994605,ES,FOP,20250224,6135.0,C,CME,USD,E4A
757530472,ES,FOP,20250224,6140.0,P,CME,USD,E4A
757530743,ES,FOP,20250224,6140.0,C,CME,USD,E4A
761994985,ES,FOP,20250224,6145.0,C,CME,USD,E4A
761994994,ES,FOP,20250224,6145.0,P,CME,USD,E4A
752257543,ES,FOP,20250224,6150.0,P,CME,USD,E4A
752257903,ES,FOP,20250224,6150.0,C,CME,USD,E4A
761994577,ES,FOP,20250224,6155.0,C,CME,USD,E4A
761994828,ES,FOP,20250224,6155.0,P,CME,USD,E4A
757530423,ES,FOP,20250224,6160.0,C,CME,USD,E4A
757530525,ES,FOP,20250224,6160.0,P,CME,USD,E4A
761994420,ES,FOP,20250224,6165.0,C,CME,USD,E4A
761994819,ES,FOP,20250224,6165.0,P,CME,USD,E4A
757530302,ES,FOP,20250224,6170.0,P,CME,USD,E4A
757530532,ES,FOP,20250224,6170.0,C,CME,USD,E4A
752257763,ES,FOP,20250224,6175.0,P,CME,USD,E4A
752257778,ES,FOP,20250224,6175.0,C,CME,USD,E4A
