conId,openPrice,closePrice,lowPrice,highPrice,lastPrice,tradingVolume
28.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
28.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
28.0,-1.0,5876.25,-1.0,-1.0,-1.0,-1.0
28.0,5883.0,5876.25,-1.0,-1.0,-1.0,-1.0
764044788.0,5883.0,7.35,-1.0,-1.0,-1.0,-1.0
764044788.0,5883.0,7.35,-1.0,-1.0,-1.0,-1.0
764044788.0,5883.0,7.35,-1.0,-1.0,-1.0,-1.0
764045401.0,5883.0,128.5,-1.0,-1.0,-1.0,-1.0
764045401.0,5883.0,128.5,-1.0,-1.0,-1.0,-1.0
764045401.0,5883.0,128.5,-1.0,-1.0,-1.0,-1.0
759088227.0,5883.0,8.0,-1.0,-1.0,-1.0,-1.0
759088227.0,5883.0,8.0,-1.0,-1.0,-1.0,-1.0
759088227.0,5883.0,8.0,-1.0,-1.0,-1.0,-1.0
759088419.0,5883.0,124.25,-1.0,-1.0,-1.0,-1.0
759088419.0,5883.0,124.25,-1.0,-1.0,-1.0,-1.0
759088419.0,5883.0,124.25,-1.0,-1.0,-1.0,-1.0
764045355.0,5883.0,8.75,-1.0,-1.0,-1.0,-1.0
764045355.0,5883.0,8.75,-1.0,-1.0,-1.0,-1.0
764045355.0,5883.0,8.75,-1.0,-1.0,-1.0,-1.0
764045661.0,5883.0,120.0,-1.0,-1.0,-1.0,-1.0
764045661.0,5883.0,120.0,-1.0,-1.0,-1.0,-1.0
764045661.0,5883.0,120.0,-1.0,-1.0,-1.0,-1.0
759088039.0,5883.0,115.75,-1.0,-1.0,-1.0,-1.0
759088039.0,5883.0,115.75,-1.0,-1.0,-1.0,-1.0
759088039.0,5883.0,115.75,-1.0,-1.0,-1.0,-1.0
759088085.0,5883.0,9.5,-1.0,-1.0,-1.0,-1.0
759088085.0,5883.0,9.5,-1.0,-1.0,-1.0,-1.0
759088085.0,5883.0,9.5,-1.0,-1.0,-1.0,-1.0
753718063.0,5883.0,10.25,-1.0,-1.0,-1.0,-1.0
753718063.0,5883.0,10.25,-1.0,-1.0,-1.0,-1.0
753718063.0,5883.0,10.25,-1.0,-1.0,-1.0,-1.0
753718317.0,5883.0,111.5,-1.0,-1.0,-1.0,-1.0
753718317.0,5883.0,111.5,-1.0,-1.0,-1.0,-1.0
753718317.0,5883.0,111.5,-1.0,-1.0,-1.0,-1.0
759088075.0,5883.0,107.25,-1.0,-1.0,-1.0,-1.0
759088075.0,5883.0,107.25,-1.0,-1.0,-1.0,-1.0
759088075.0,5883.0,107.25,-1.0,-1.0,-1.0,-1.0
759088530.0,5883.0,11.25,-1.0,-1.0,-1.0,-1.0
759088530.0,5883.0,11.25,-1.0,-1.0,-1.0,-1.0
759088530.0,5883.0,11.25,-1.0,-1.0,-1.0,-1.0
764045375.0,5883.0,103.25,-1.0,-1.0,-1.0,-1.0
764045375.0,5883.0,103.25,-1.0,-1.0,-1.0,-1.0
764045375.0,5883.0,103.25,-1.0,-1.0,-1.0,-1.0
764045695.0,5883.0,12.0,-1.0,-1.0,-1.0,-1.0
764045695.0,5883.0,12.0,-1.0,-1.0,-1.0,-1.0
764045695.0,5883.0,12.0,-1.0,-1.0,-1.0,-1.0
759088090.0,5883.0,99.25,-1.0,-1.0,-1.0,-1.0
759088090.0,5883.0,99.25,-1.0,-1.0,-1.0,-1.0
759088090.0,5883.0,99.25,-1.0,-1.0,-1.0,-1.0
759088303.0,5883.0,13.0,-1.0,-1.0,-1.0,-1.0
759088303.0,5883.0,13.0,-1.0,-1.0,-1.0,-1.0
759088303.0,5883.0,13.0,-1.0,-1.0,-1.0,-1.0
764044783.0,5883.0,95.25,-1.0,-1.0,-1.0,-1.0
764044783.0,5883.0,95.25,-1.0,-1.0,-1.0,-1.0
764044783.0,5883.0,95.25,-1.0,-1.0,-1.0,-1.0
764045519.0,5883.0,14.0,-1.0,-1.0,-1.0,-1.0
764045519.0,5883.0,14.0,-1.0,-1.0,-1.0,-1.0
764045519.0,5883.0,14.0,-1.0,-1.0,-1.0,-1.0
753717914.0,5883.0,91.25,-1.0,-1.0,-1.0,-1.0
753717914.0,5883.0,91.25,-1.0,-1.0,-1.0,-1.0
753717914.0,5883.0,91.25,-1.0,-1.0,-1.0,-1.0
753718009.0,5883.0,15.25,-1.0,-1.0,-1.0,-1.0
753718009.0,5883.0,15.25,-1.0,-1.0,-1.0,-1.0
753718009.0,5883.0,15.25,-1.0,-1.0,-1.0,-1.0
764045305.0,5883.0,16.25,-1.0,-1.0,-1.0,-1.0
764045305.0,5883.0,16.25,-1.0,-1.0,-1.0,-1.0
764045305.0,5883.0,16.25,-1.0,-1.0,-1.0,-1.0
764045596.0,5883.0,87.5,-1.0,-1.0,-1.0,-1.0
764045596.0,5883.0,87.5,-1.0,-1.0,-1.0,-1.0
764045596.0,5883.0,87.5,-1.0,-1.0,-1.0,-1.0
759088247.0,5883.0,83.75,-1.0,-1.0,-1.0,-1.0
759088247.0,5883.0,83.75,-1.0,-1.0,-1.0,-1.0
759088247.0,5883.0,83.75,-1.0,-1.0,-1.0,-1.0
759088448.0,5883.0,17.5,-1.0,-1.0,-1.0,-1.0
759088448.0,5883.0,17.5,-1.0,-1.0,-1.0,-1.0
759088448.0,5883.0,17.5,-1.0,-1.0,-1.0,-1.0
764045543.0,5883.0,18.75,-1.0,-1.0,-1.0,-1.0
764045543.0,5883.0,18.75,-1.0,-1.0,-1.0,-1.0
764045543.0,5883.0,18.75,-1.0,-1.0,-1.0,-1.0
