conId,symbol,secType,expiration,strike,right,exchange,currency,tradingClass
787461080,ES,FOP,20250702,6125.0,C,CME,USD,E1C
787461109,ES,FOP,20250702,6125.0,P,CME,USD,E1C
796361952,ES,FOP,20250702,6125.0,C,CME,USD,ECES
796361957,ES,FOP,20250702,6125.0,P,CME,USD,ECES
789243839,ES,FOP,20250702,6130.0,P,CME,USD,E1C
789243859,ES,FOP,20250702,6130.0,C,CME,USD,E1C
796361962,ES,FOP,20250702,6130.0,C,CME,USD,ECES
796361967,ES,FOP,20250702,6130.0,P,CME,USD,ECES
793966062,ES,FOP,20250702,6135.0,P,CME,USD,E1C
793966186,ES,FOP,20250702,6135.0,C,CME,USD,E1C
789243945,ES,FOP,20250702,6140.0,P,CME,USD,E1C
789244085,ES,FOP,20250702,6140.0,C,CME,USD,E1C
796361969,ES,FOP,20250702,6140.0,C,CME,USD,ECES
796361972,ES,FOP,20250702,6140.0,P,CME,USD,ECES
793965938,ES,FOP,20250702,6145.0,P,CME,USD,E1C
793966289,ES,FOP,20250702,6145.0,C,CME,USD,E1C
787461169,ES,FOP,20250702,6150.0,P,CME,USD,E1C
787461442,ES,FOP,20250702,6150.0,C,CME,USD,E1C
796361979,ES,FOP,20250702,6150.0,C,CME,USD,ECES
796361982,ES,FOP,20250702,6150.0,P,CME,USD,ECES
793965929,ES,FOP,20250702,6155.0,C,CME,USD,E1C
793966282,ES,FOP,20250702,6155.0,P,CME,USD,E1C
789243862,ES,FOP,20250702,6160.0,P,CME,USD,E1C
789243948,ES,FOP,20250702,6160.0,C,CME,USD,E1C
796361984,ES,FOP,20250702,6160.0,C,CME,USD,ECES
796361989,ES,FOP,20250702,6160.0,P,CME,USD,ECES
793965792,ES,FOP,20250702,6165.0,C,CME,USD,E1C
793966209,ES,FOP,20250702,6165.0,P,CME,USD,E1C
789243965,ES,FOP,20250702,6170.0,P,CME,USD,E1C
789243978,ES,FOP,20250702,6170.0,C,CME,USD,E1C
796361994,ES,FOP,20250702,6170.0,C,CME,USD,ECES
796361999,ES,FOP,20250702,6170.0,P,CME,USD,ECES
787942294,ES,FOP,20250702,6175.0,C,CME,USD,E1C
