conId,symbol,secType,expiration,strike,right,exchange,currency,tradingClass
751065179,ES,FOP,20250228,5760.0,P,CME,USD,EW
751065643,ES,FOP,20250228,5760.0,C,CME,USD,EW
762515671,ES,FOP,20250228,5765.0,P,CME,USD,EW
762515970,ES,FOP,20250228,5765.0,C,CME,USD,EW
751064621,ES,FOP,20250228,5770.0,P,CME,USD,EW
751065269,ES,FOP,20250228,5770.0,C,CME,USD,EW
744422013,ES,FOP,20250228,5775.0,C,CME,USD,EW
744422018,ES,FOP,20250228,5775.0,P,CME,USD,EW
751065259,ES,FOP,20250228,5780.0,C,CME,USD,EW
751065422,ES,FOP,20250228,5780.0,P,CME,USD,EW
762515886,ES,FOP,20250228,5785.0,P,CME,USD,EW
762515996,ES,FOP,20250228,5785.0,C,CME,USD,EW
751064966,ES,FOP,20250228,5790.0,C,CME,USD,EW
751065480,ES,FOP,20250228,5790.0,P,CME,USD,EW
762515833,ES,FOP,20250228,5795.0,P,CME,USD,EW
762515966,ES,FOP,20250228,5795.0,C,CME,USD,EW
726206535,ES,FOP,20250228,5800.0,P,CME,USD,EW
726206782,ES,FOP,20250228,5800.0,C,CME,USD,EW
762515849,ES,FOP,20250228,5805.0,C,CME,USD,EW
762515975,ES,FOP,20250228,5805.0,P,CME,USD,EW
751064888,ES,FOP,20250228,5810.0,C,CME,USD,EW
751065018,ES,FOP,20250228,5810.0,P,CME,USD,EW
762515420,ES,FOP,20250228,5815.0,C,CME,USD,EW
762515796,ES,FOP,20250228,5815.0,P,CME,USD,EW
751064913,ES,FOP,20250228,5820.0,P,CME,USD,EW
751065169,ES,FOP,20250228,5820.0,C,CME,USD,EW
744421942,ES,FOP,20250228,5825.0,P,CME,USD,EW
744422048,ES,FOP,20250228,5825.0,C,CME,USD,EW
751064610,ES,FOP,20250228,5830.0,C,CME,USD,EW
751064876,ES,FOP,20250228,5830.0,P,CME,USD,EW
762515434,ES,FOP,20250228,5835.0,P,CME,USD,EW
762515917,ES,FOP,20250228,5835.0,C,CME,USD,EW
751064633,ES,FOP,20250228,5840.0,C,CME,USD,EW
751065312,ES,FOP,20250228,5840.0,P,CME,USD,EW
762515726,ES,FOP,20250228,5845.0,C,CME,USD,EW
762515733,ES,FOP,20250228,5845.0,P,CME,USD,EW
726206541,ES,FOP,20250228,5850.0,C,CME,USD,EW
726206832,ES,FOP,20250228,5850.0,P,CME,USD,EW
762515762,ES,FOP,20250228,5855.0,P,CME,USD,EW
762515864,ES,FOP,20250228,5855.0,C,CME,USD,EW
751065364,ES,FOP,20250228,5860.0,P,CME,USD,EW
751065723,ES,FOP,20250228,5860.0,C,CME,USD,EW
762515643,ES,FOP,20250228,5865.0,C,CME,USD,EW
762515941,ES,FOP,20250228,5865.0,P,CME,USD,EW
751064681,ES,FOP,20250228,5870.0,P,CME,USD,EW
751064887,ES,FOP,20250228,5870.0,C,CME,USD,EW
744422035,ES,FOP,20250228,5875.0,P,CME,USD,EW
744629407,ES,FOP,20250228,5875.0,C,CME,USD,EW
751064882,ES,FOP,20250228,5880.0,C,CME,USD,EW
751064916,ES,FOP,20250228,5880.0,P,CME,USD,EW
762515767,ES,FOP,20250228,5885.0,C,CME,USD,EW
762515869,ES,FOP,20250228,5885.0,P,CME,USD,EW
751064723,ES,FOP,20250228,5890.0,C,CME,USD,EW
751065663,ES,FOP,20250228,5890.0,P,CME,USD,EW
762515461,ES,FOP,20250228,5895.0,P,CME,USD,EW
762515633,ES,FOP,20250228,5895.0,C,CME,USD,EW
726206497,ES,FOP,20250228,5900.0,C,CME,USD,EW
726207137,ES,FOP,20250228,5900.0,P,CME,USD,EW
762515672,ES,FOP,20250228,5905.0,C,CME,USD,EW
762515711,ES,FOP,20250228,5905.0,P,CME,USD,EW
751065548,ES,FOP,20250228,5910.0,P,CME,USD,EW
751065713,ES,FOP,20250228,5910.0,C,CME,USD,EW
762515495,ES,FOP,20250228,5915.0,C,CME,USD,EW
762515773,ES,FOP,20250228,5915.0,P,CME,USD,EW
751065361,ES,FOP,20250228,5920.0,C,CME,USD,EW
751065609,ES,FOP,20250228,5920.0,P,CME,USD,EW
744629371,ES,FOP,20250228,5925.0,C,CME,USD,EW
744629387,ES,FOP,20250228,5925.0,P,CME,USD,EW
751064833,ES,FOP,20250228,5930.0,C,CME,USD,EW
751064935,ES,FOP,20250228,5930.0,P,CME,USD,EW
762515444,ES,FOP,20250228,5935.0,P,CME,USD,EW
762515806,ES,FOP,20250228,5935.0,C,CME,USD,EW
751064791,ES,FOP,20250228,5940.0,C,CME,USD,EW
751065245,ES,FOP,20250228,5940.0,P,CME,USD,EW
762515893,ES,FOP,20250228,5945.0,C,CME,USD,EW
762515898,ES,FOP,20250228,5945.0,P,CME,USD,EW
726206550,ES,FOP,20250228,5950.0,C,CME,USD,EW
726206808,ES,FOP,20250228,5950.0,P,CME,USD,EW
762515473,ES,FOP,20250228,5955.0,P,CME,USD,EW
762515561,ES,FOP,20250228,5955.0,C,CME,USD,EW
751065129,ES,FOP,20250228,5960.0,C,CME,USD,EW
751065305,ES,FOP,20250228,5960.0,P,CME,USD,EW
762515476,ES,FOP,20250228,5965.0,P,CME,USD,EW
762515660,ES,FOP,20250228,5965.0,C,CME,USD,EW
751064993,ES,FOP,20250228,5970.0,C,CME,USD,EW
751065485,ES,FOP,20250228,5970.0,P,CME,USD,EW
744421996,ES,FOP,20250228,5975.0,P,CME,USD,EW
744629380,ES,FOP,20250228,5975.0,C,CME,USD,EW
751064831,ES,FOP,20250228,5980.0,P,CME,USD,EW
751064989,ES,FOP,20250228,5980.0,C,CME,USD,EW
762515417,ES,FOP,20250228,5985.0,C,CME,USD,EW
762515536,ES,FOP,20250228,5985.0,P,CME,USD,EW
751065197,ES,FOP,20250228,5990.0,P,CME,USD,EW
751065374,ES,FOP,20250228,5990.0,C,CME,USD,EW
762515646,ES,FOP,20250228,5995.0,C,CME,USD,EW
762515810,ES,FOP,20250228,5995.0,P,CME,USD,EW
