conId,symbol,secType,expiration,strike,right,exchange,currency,tradingClass,tickType,impliedVol,delta,optPrice,pvDividend,gamma,vega,theta,undPrice
760509122,ES,FOP,20250218,6015.0,P,CME,USD,E3B,13.0,0.15452494731596628,-0.02007566269629677,0.4531104304508773,0.0,0.0007931979666087656,0.21919100907472,-0.45102220765542134,6139.08642578125
760509122,ES,FOP,20250218,6015.0,P,CME,USD,E3B,10.0,0.1543630044047699,,,0.0,,,,6139.25
760509122,ES,FOP,20250218,6015.0,P,CME,USD,E3B,11.0,0.15925191084514748,,,0.0,,,,6139.25
760509122,ES,FOP,20250218,6015.0,P,CME,USD,E3B,12.0,0.15733523327242468,,,0.0,,,,6139.25
760509400,ES,FOP,20250218,6015.0,C,CME,USD,E3B,13.0,0.15452494731596628,0.9797405191016061,124.51672686800885,0.0,0.0007931979666087656,0.21919100907416578,-0.43602543997894827,6139.08642578125
760509400,ES,FOP,20250218,6015.0,C,CME,USD,E3B,10.0,0.1365154504983382,0.9897986697462473,124.5,0.0,0.0004935503243784536,0.10571987599357774,-0.2730071058094836,6139.25
760509400,ES,FOP,20250218,6015.0,C,CME,USD,E3B,11.0,0.17418213803368082,0.9658142776252966,125.25,0.0,0.0010935419867004574,0.29887010513757156,-1.0230071058094836,6139.25
760509400,ES,FOP,20250218,6015.0,C,CME,USD,E3B,12.0,,,,0.0,,,,6139.25
757528111,ES,FOP,20250218,6020.0,P,CME,USD,E3B,13.0,0.15152022224990558,-0.022335708623398058,0.5010373922681595,0.0,0.0008853178953424737,0.23909394200740053,-0.4982751880454852,6139.08642578125
757528111,ES,FOP,20250218,6020.0,P,CME,USD,E3B,10.0,0.15147094758026863,-0.022108755388945387,0.5,0.0,0.0008783836047847421,0.2087646492078225,-0.5,6139.25
757528111,ES,FOP,20250218,6020.0,P,CME,USD,E3B,11.0,0.15595503431615904,-0.025323334791548805,0.6000000238418579,0.0,0.0009562951020359263,0.2340101671273075,-0.6000000238418579,6139.25
757528111,ES,FOP,20250218,6020.0,P,CME,USD,E3B,12.0,,,,0.0,,,,6139.75
757528181,ES,FOP,20250218,6020.0,C,CME,USD,E3B,13.0,0.15152022224990558,0.9774804731745048,119.56557292083653,0.0,0.0008853178953424737,0.23909394200836687,-0.4838827075664085,6139.08642578125
757528181,ES,FOP,20250218,6020.0,C,CME,USD,E3B,10.0,0.13156973689786874,0.9895072649327237,119.5,0.0,0.0005250764552210797,0.1083981693152826,-0.27208126654204534,6139.25
757528181,ES,FOP,20250218,6020.0,C,CME,USD,E3B,11.0,0.16830332615215768,0.9648094871626394,120.25,0.0,0.0011591441463247884,0.30610719807573633,-1.0220812665420453,6139.25
757528181,ES,FOP,20250218,6020.0,C,CME,USD,E3B,12.0,,,,0.0,,,,6139.5
753981961,ES,FOP,20250218,6025.0,C,CME,USD,E3B,10.0,0.12661223026608368,0.9891935716551709,114.5,0.0,0.0005600794003452963,0.1112675832912224,-0.27115542727369757,6139.25
753981961,ES,FOP,20250218,6025.0,C,CME,USD,E3B,11.0,0.16239947286745932,0.9637331569170937,115.25,0.0,0.0012314816413571412,0.31380217822501144,-1.0211554272736976,6139.25
753981961,ES,FOP,20250218,6025.0,C,CME,USD,E3B,13.0,0.14871117603862738,0.9747592580696834,114.62543071518121,0.0,0.0009936018339121377,0.2623056702759641,-0.5424456582841231,6139.08642578125
753981961,ES,FOP,20250218,6025.0,C,CME,USD,E3B,12.0,,,,0.0,,,,6139.5
753982336,ES,FOP,20250218,6025.0,P,CME,USD,E3B,13.0,0.14871117603862738,-0.025056923728219483,0.5599760956013711,0.0,0.0009936018339121377,0.26230567027621987,-0.5562338515658087,6139.08642578125
753982336,ES,FOP,20250218,6025.0,P,CME,USD,E3B,10.0,0.14827887258390654,-0.02402857397320744,0.550000011920929,0.0,0.00096239531829213,0.22394785726468414,-0.550000011920929,6139.75
753982336,ES,FOP,20250218,6025.0,P,CME,USD,E3B,11.0,0.15241356238630716,-0.027208580391288435,0.6499999761581421,0.0,0.001038970993638069,0.24850845625634985,-0.6499999761581421,6139.75
753982336,ES,FOP,20250218,6025.0,P,CME,USD,E3B,12.0,0.15182613087091124,-0.026747417095954594,0.6499999761581421,0.0,0.0010282148488425964,0.24498784108156493,-0.6499999761581421,6139.75
757528152,ES,FOP,20250218,6030.0,P,CME,USD,E3B,13.0,0.14612216408635284,-0.02835191865235438,0.6329919876417875,0.0,0.001121127688411974,0.289436672993844,-0.6277940803186683,6139.08642578125
757528152,ES,FOP,20250218,6030.0,P,CME,USD,E3B,10.0,0.14481884741949833,-0.026758065557652276,0.6000000238418579,0.0,0.0010783688872605958,0.24505930773152734,-0.6000000238418579,6139.5
757528152,ES,FOP,20250218,6030.0,P,CME,USD,E3B,11.0,0.14864757698102396,-0.029968969482964857,0.699999988079071,0.0,0.0011544998573429213,0.26929636072010377,-0.699999988079071,6139.5
757528152,ES,FOP,20250218,6030.0,P,CME,USD,E3B,12.0,0.1465644435175483,-0.028205242290321658,0.800000011920929,0.0,0.001113361621743818,0.25606111756043987,-0.800000011920929,6139.5
757528462,ES,FOP,20250218,6030.0,C,CME,USD,E3B,13.0,0.14612216408635284,0.9714642631455485,109.6993656982313,0.0,0.001121127688411974,0.28943667299427034,-0.614610174232439,6139.08642578125
757528462,ES,FOP,20250218,6030.0,C,CME,USD,E3B,10.0,0.12164192672992635,0.9890037188243935,109.75,0.0,0.0005920034419248438,0.11300204125114861,-0.2702758799687217,6139.5
757528462,ES,FOP,20250218,6030.0,C,CME,USD,E3B,11.0,0.15646884191796656,0.9629036243446427,110.5,0.0,0.00130210004576748,0.3197061486247858,-1.0202758799687217,6139.5
757528462,ES,FOP,20250218,6030.0,C,CME,USD,E3B,12.0,,,,0.0,,,,6139.5
760508548,ES,FOP,20250218,6035.0,P,CME,USD,E3B,13.0,0.14375315664586294,-0.03233620219449918,0.7233266986134765,0.0,0.001270806458174865,0.3209984985025187,-0.7159381366071571,6139.08642578125
760508548,ES,FOP,20250218,6035.0,P,CME,USD,E3B,10.0,0.14293212463767432,-0.0310051414173454,0.699999988079071,0.0,0.0012349531113338055,0.2769868073064699,-0.699999988079071,6139.5
