conId,symbol,secType,expiration,strike,right,exchange,currency,tradingClass
757839395,ES,FOP,20250226,5840.0,C,CME,USD,E4C
757839650,ES,FOP,20250226,5840.0,P,CME,USD,E4C
761995798,ES,FOP,20250226,5845.0,C,CME,USD,E4C
761995808,ES,FOP,20250226,5845.0,P,CME,USD,E4C
756080290,ES,FOP,20250226,5850.0,P,CME,USD,E4C
756080550,ES,FOP,20250226,5850.0,C,CME,USD,E4C
761995858,ES,FOP,20250226,5855.0,P,CME,USD,E4C
761995949,ES,FOP,20250226,5855.0,C,CME,USD,E4C
757839357,ES,FOP,20250226,5860.0,P,CME,USD,E4C
757839429,ES,FOP,20250226,5860.0,C,CME,USD,E4C
761995737,ES,FOP,20250226,5865.0,C,CME,USD,E4C
761996221,ES,FOP,20250226,5865.0,P,CME,USD,E4C
757839398,ES,FOP,20250226,5870.0,P,CME,USD,E4C
757839877,ES,FOP,20250226,5870.0,C,CME,USD,E4C
756080402,ES,FOP,20250226,5875.0,C,CME,USD,E4C
756080568,ES,FOP,20250226,5875.0,P,CME,USD,E4C
757839300,ES,FOP,20250226,5880.0,C,CME,USD,E4C
757839854,ES,FOP,20250226,5880.0,P,CME,USD,E4C
761995731,ES,FOP,20250226,5885.0,P,CME,USD,E4C
761995984,ES,FOP,20250226,5885.0,C,CME,USD,E4C
757839706,ES,FOP,20250226,5890.0,P,CME,USD,E4C
757839752,ES,FOP,20250226,5890.0,C,CME,USD,E4C
761995744,ES,FOP,20250226,5895.0,P,CME,USD,E4C
761996224,ES,FOP,20250226,5895.0,C,CME,USD,E4C
756080387,ES,FOP,20250226,5900.0,C,CME,USD,E4C
756080437,ES,FOP,20250226,5900.0,P,CME,USD,E4C
761996124,ES,FOP,20250226,5905.0,C,CME,USD,E4C
761996263,ES,FOP,20250226,5905.0,P,CME,USD,E4C
757839454,ES,FOP,20250226,5910.0,P,CME,USD,E4C
757839458,ES,FOP,20250226,5910.0,C,CME,USD,E4C
761995919,ES,FOP,20250226,5915.0,C,CME,USD,E4C
761996176,ES,FOP,20250226,5915.0,P,CME,USD,E4C
757839421,ES,FOP,20250226,5920.0,C,CME,USD,E4C
757839481,ES,FOP,20250226,5920.0,P,CME,USD,E4C
756080480,ES,FOP,20250226,5925.0,P,CME,USD,E4C
756080485,ES,FOP,20250226,5925.0,C,CME,USD,E4C
757839735,ES,FOP,20250226,5930.0,P,CME,USD,E4C
757839786,ES,FOP,20250226,5930.0,C,CME,USD,E4C
761995734,ES,FOP,20250226,5935.0,P,CME,USD,E4C
761995783,ES,FOP,20250226,5935.0,C,CME,USD,E4C
757839289,ES,FOP,20250226,5940.0,P,CME,USD,E4C
757839469,ES,FOP,20250226,5940.0,C,CME,USD,E4C
761995852,ES,FOP,20250226,5945.0,C,CME,USD,E4C
761996210,ES,FOP,20250226,5945.0,P,CME,USD,E4C
756080313,ES,FOP,20250226,5950.0,P,CME,USD,E4C
756080393,ES,FOP,20250226,5950.0,C,CME,USD,E4C
761995801,ES,FOP,20250226,5955.0,C,CME,USD,E4C
761995979,ES,FOP,20250226,5955.0,P,CME,USD,E4C
757839643,ES,FOP,20250226,5960.0,C,CME,USD,E4C
757839681,ES,FOP,20250226,5960.0,P,CME,USD,E4C
761995720,ES,FOP,20250226,5965.0,P,CME,USD,E4C
761995825,ES,FOP,20250226,5965.0,C,CME,USD,E4C
757839494,ES,FOP,20250226,5970.0,C,CME,USD,E4C
757839631,ES,FOP,20250226,5970.0,P,CME,USD,E4C
756080301,ES,FOP,20250226,5975.0,P,CME,USD,E4C
756080346,ES,FOP,20250226,5975.0,C,CME,USD,E4C
757839497,ES,FOP,20250226,5980.0,C,CME,USD,E4C
757839691,ES,FOP,20250226,5980.0,P,CME,USD,E4C
761995888,ES,FOP,20250226,5985.0,C,CME,USD,E4C
761995921,ES,FOP,20250226,5985.0,P,CME,USD,E4C
757839616,ES,FOP,20250226,5990.0,P,CME,USD,E4C
757839746,ES,FOP,20250226,5990.0,C,CME,USD,E4C
761995706,ES,FOP,20250226,5995.0,C,CME,USD,E4C
761996024,ES,FOP,20250226,5995.0,P,CME,USD,E4C
756080630,ES,FOP,20250226,6000.0,P,CME,USD,E4C
756080720,ES,FOP,20250226,6000.0,C,CME,USD,E4C
761996003,ES,FOP,20250226,6005.0,C,CME,USD,E4C
761996138,ES,FOP,20250226,6005.0,P,CME,USD,E4C
757839715,ES,FOP,20250226,6010.0,C,CME,USD,E4C
757839724,ES,FOP,20250226,6010.0,P,CME,USD,E4C
761996195,ES,FOP,20250226,6015.0,P,CME,USD,E4C
761996254,ES,FOP,20250226,6015.0,C,CME,USD,E4C
757839322,ES,FOP,20250226,6020.0,P,CME,USD,E4C
757839604,ES,FOP,20250226,6020.0,C,CME,USD,E4C
756080615,ES,FOP,20250226,6025.0,C,CME,USD,E4C
756080739,ES,FOP,20250226,6025.0,P,CME,USD,E4C
757839451,ES,FOP,20250226,6030.0,P,CME,USD,E4C
757839741,ES,FOP,20250226,6030.0,C,CME,USD,E4C
761995972,ES,FOP,20250226,6035.0,P,CME,USD,E4C
761996309,ES,FOP,20250226,6035.0,C,CME,USD,E4C
757839374,ES,FOP,20250226,6040.0,C,CME,USD,E4C
757839500,ES,FOP,20250226,6040.0,P,CME,USD,E4C
761995838,ES,FOP,20250226,6045.0,C,CME,USD,E4C
761995869,ES,FOP,20250226,6045.0,P,CME,USD,E4C
756080375,ES,FOP,20250226,6050.0,C,CME,USD,E4C
756080715,ES,FOP,20250226,6050.0,P,CME,USD,E4C
761995701,ES,FOP,20250226,6055.0,P,CME,USD,E4C
761996029,ES,FOP,20250226,6055.0,C,CME,USD,E4C
757839391,ES,FOP,20250226,6060.0,C,CME,USD,E4C
757839626,ES,FOP,20250226,6060.0,P,CME,USD,E4C
761996065,ES,FOP,20250226,6065.0,C,CME,USD,E4C
761996158,ES,FOP,20250226,6065.0,P,CME,USD,E4C
757839589,ES,FOP,20250226,6070.0,C,CME,USD,E4C
757839661,ES,FOP,20250226,6070.0,P,CME,USD,E4C
756080271,ES,FOP,20250226,6075.0,P,CME,USD,E4C
756080307,ES,FOP,20250226,6075.0,C,CME,USD,E4C
